Gemeinderatswahl 2014 in Thüringen - endgültiges Ergebnis;;;;;
;;;;;
Übersicht zu den Bewerbern;;;;;
Gemeinde;Wahlvorschlag;Anzahl der Bewerber;;Gewählte Bewerber;
;;insgesamt;darunter weiblich;insgesamt;darunter weiblich
51000 Stadt Erfurt;CDU;50;10;12;2
52000 Stadt Gera;CDU;22;3;10;3
53000 Stadt Jena;CDU;46;13;10;3
54000 Stadt Suhl;CDU;32;6;9;1
55000 Stadt Weimar;CDU;42;9;10;2
56000 Stadt Eisenach;CDU;35;7;11;3
61001 Arenshausen;CDU;10;-;7;-
61003 Berlingerode;CDU;16;3;8;2
61012 Bodenrode-Westhausen;CDU;11;2;7;1
61015 Brehme;CDU;13;3;5;1
61017 Breitenworbis;CDU;15;2;9;1
61018 Büttstedt;CDU;11;-;8;-
61022 Deuna;CDU;9;-;7;-
61025 Dingelstädt, Stadt;CDU;16;3;10;-
61026 Ecklingerode;CDU;4;1;2;1
61027 Effelder;CDU;12;2;12;2
61031 Ferna;CDU;9;3;8;2
61032 Freienhagen;CDU;7;2;6;2
61034 Geisleden;CDU;10;1;3;1
61035 Geismar;CDU;13;1;7;1
61036 Gerbershausen;CDU;8;-;8;-
61037 Gernrode;CDU;15;2;7;1
61041 Großbartloff;CDU;9;3;8;3
61043 Hausen;CDU;7;-;6;-
61044 Haynrode;CDU;5;-;2;-
61045 Heilbad Heiligenstadt, Stadt;CDU;24;3;10;1
61047 Heuthen;CDU;9;3;6;1
61048 Hohengandern;CDU;8;1;5;1
61049 Hohes Kreuz;CDU;12;4;9;3
61052 Hundeshagen;CDU;11;1;5;-
61054 Kallmerode;CDU;5;1;3;-
61055 Kefferhausen;CDU;8;1;5;-
61056 Kella;CDU;8;2;6;2
61057 Kirchgandern;CDU;8;1;6;1
61059 Kleinbartloff;CDU;7;1;6;1
61061 Kreuzebra;CDU;8;-;5;-
61063 Küllstedt;CDU;13;3;8;1
61065 Lenterode;CDU;7;1;2;-
61067 Lutter;CDU;11;1;8;1
61068 Mackenrode;CDU;5;-;3;-
61069 Marth;CDU;5;3;2;1
61074 Niederorschel;CDU;20;2;7;1
61076 Reinholterode;CDU;10;1;8;1
61078 Rohrberg;CDU;8;2;4;1
61082 Rustenfelde;CDU;7;2;5;2
61087 Silberhausen;CDU;7;-;6;-
61089 Steinbach (EIC);CDU;7;1;5;-
61091 Steinheuterode;CDU;7;-;4;-
61094 Tastungen;CDU;3;-;2;-
61097 Uder;CDU;17;4;10;3
61101 Wachstedt;CDU;7;3;5;3
61107 Wingerode;CDU;13;-;10;-
61111 Wüstheuterode;CDU;9;3;4;1
61113 Schimberg;CDU;10;1;8;1
61114 Teistungen;CDU;19;-;10;-
61115 Leinefelde-Worbis, Stadt;CDU;23;5;14;2
61116 Am Ohmberg;CDU;16;1;10;1
61117 Sonnenstein;CDU;9;2;9;2
62002 Bleicherode, Stadt;CDU;19;6;12;6
62005 Ellrich, Stadt;CDU;20;4;6;-
62008 Görsbach;CDU;3;1;1;-
62009 Großlohra;CDU;4;-;3;-
