day;place;suspects;background;law;crime;party_1;party_2;party_3;party_4;party_5;;
01.07.2019;Greifswald;0;Links;STGB-242;Diebstahl;AfD;;;;;;
02.07.2019;StaRfurt;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;AfD;;;;;;
09.07.2019;Gotha;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
11.07.2019;Luckenwalde;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
;;;;;Besonders schwerer Fall;;;;;;;
13.07.2019;Oldenburg;0;Nicht zuzuordnen;STGB-243;des Diebstahls;AfD;;;;;;
13.07.2019;Bad Liebenstein;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
14.07.2019;Leipzig;0;Rechts;STGB-303;SachbescNdigung;Die Linke;;;;;;
18.07.2019;Wismar;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
18.07.2019;Torgau;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
;;;;;Verwenden von;;;;;;;
;;;;;Kennzeichen;;;;;;;
;;;;;verfassungswidriger;;;;;;;
21.07.2019;GieBen;0;Rechts;STGB-86A;Organisationen;Die Linke;;;;;;
22.07.2019;K6then;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;AfD;;;;;;
22.07.2019;Stendal;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;Die Linke;;;;;;
;;;;;Storung des;;;;;;;
;;;;;offentlichen Friedens;;;;;;;
;;;;;durch Androhung von;;;;;;;
22.07.2019;Berlin;0;Rechts;STGB-126;Straftaten;Die Linke;;;;;;
;;;;;Storung des;;;;;;;
;;;;;offentlichen Friedens;;;;;;;
;;;;;durch Androhung von;;;;;;;
22.07.2019;Berlin;0;Rechts;STGB-126;Straftaten;SPD;;;;;;
22.07.2019;Detmold;0;Links;STGB-303;Sachbeschadigung;CDU;;;;;;
;;;;;Storung des;;;;;;;
23.07.2019;Berlin;0;Rechts;STGB-126;offentlichen Friedens;BOndnis 90/Die GrUnen;;;;;;
;;;;;durch Androhung von;;;;;;;
;;;;;Straftaten;;;;;;;
26.07.2019;Bitburg;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;SPD;;;;;;
26.07.2019;Wurzen;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;CDU;;;;;;
30.07.2019;Hoyerswerda;1;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
02.08.2019;Nienburg;0;Rechts;STGB-303;Sachbeschadigung;SPD;;;;;;
03.08.2019;Furth;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;SPD;;;;;;
07.08.2019;Lubben;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;Bundnis 90/Die Grilinen;;;;;;
;;;;;Verunglimpfung;;;;;;;
07.08.2019;Nordhausen;0;Links;STGB-90A;staatlicher Symbole;AfD;;;;;;
09.08.2019;Lugau;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
11.08.2019;Greven;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;BLindnis 90/Die GrLinen;;;;;;
11.08.2019;Lugau;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
12.08.2019;Stralsund;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
17.08.2019;Plauen;0;Links;STGB-303;Sachbeschadigung;Sonstige;;;;;;
18.08.2019;Berlin;0;Links;STGB-303;Sachbeschadigung;SPD;;;;;;
22.08.2019;Verden;0;Rechts;STGB-303;Sachbeschadigung;SPD;;;;;;
22.08.2019;Rochlitz;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
28.08.2019;Wismar;0;Rechts;STGB-303;Sachbeschadigung;Die Linke;;;;;;
28.08.2019;Dresden;0;Rechts;STGB-303;Sachbeschadigung;CDU;;;;;;
28.08.2019;Leipzig;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
31.08.2019;Torgau;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
01.09.2019;Berlin;0;Nicht zuzuordnen;STGB-303;SachbeschMigung;Bundnis 90/Die GrLinen;;;;;;
01.09.2019;Zwickau;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;Bundnis 90/Die GrOnen;;;;;;
04.09.2019;Gera;1;Nicht zuzuordnen;STGB-303;Sachbeschadigung;AfD;;;;;;
13.09.2019;Berlin;0;Links;STGB-303;Sachbeschadigung;CDU;;;;;;
14.09.2019;MeiRen;0;Links;STGB-306;Brandstiftung;AfD;;;;;;
;Heilbad;;;;;;;;;;;
14.09.2019;Heiligenstadt;0;Links;STGB-303;Sachbeschadigung;AfD;;;;;;
15.09.2019;Bergen;0;Links;STGB-242;Diebstahl;AfD;;;;;;
;;;;;;;;;;;;
15.09.2019;Zwickau;0;Links;STGB-303;Sachbeschadigung;MD;;;;;;
16.09.2019;Quedlinburg;0;Links;STGB-303;Sachbeschadigung;MD;;;;;;
16.09.2019;Waldbrol;0;Nicht zuzuordnen;STGB-303;Sachbeschadigung;SPD;;;;;;
18.09.2019;Eisenach;0;Links;STGB-303;Sachbeschadigung;Sonstige;;;;;;
