,Land,size,pop,pop_male,pop_female,density,plz,longitude,latitude,travel_sig,degree_of_urban,city_id
3,1,"53,02",90164.0,44904.0,45260.0,1701.0,24937.0,"9,43751","54,78252",Ostsee,dicht besiedelt,1001000.0
6,1,"118,65",246794.0,120198.0,126596.0,2080.0,24103.0,"10,13727","54,321775",Ostsee,dicht besiedelt,1002000.0
9,1,"214,19",216530.0,104032.0,112498.0,1011.0,23552.0,"10,683932","53,866269",Ostsee,dicht besiedelt,1003000.0
12,1,"71,66",80196.0,39723.0,40473.0,1119.0,24534.0,"9,988422","54,069895",übrig. Schleswig-Holstein,dicht besiedelt,1004000.0
15,1,"65,21",12380.0,6240.0,6140.0,190.0,25541.0,"9,13735","53,896932",Nordsee,mittlere Besiedlungsdichte,1051011.0
17,1,"31,97",21852.0,10435.0,11417.0,684.0,25746.0,"9,091156","54,193962",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte,1051044.0
19,1,"9,06",554.0,288.0,266.0,61.0,25715.0,"9,182663","53,941154",übrig. Schleswig-Holstein,gering besiedelt,1051003.0
20,1,"6,07",212.0,114.0,98.0,35.0,25712.0,"9,221166","54,00849",übrig. Schleswig-Holstein,gering besiedelt,1051010.0
21,1,"14,56",998.0,520.0,478.0,69.0,25712.0,"9,223774","53,987132",übrig. Schleswig-Holstein,gering besiedelt,1051012.0
22,1,"11,25",4159.0,2033.0,2126.0,370.0,25712.0,"9,26246","53,99748",übrig. Schleswig-Holstein,gering besiedelt,1051016.0
23,1,"7,01",627.0,329.0,298.0,89.0,25715.0,"9,125804","53,960888",übrig. Schleswig-Holstein,gering besiedelt,1051022.0
24,1,"9,21",1330.0,669.0,661.0,144.0,25715.0,"9,137433","53,945888",übrig. Schleswig-Holstein,gering besiedelt,1051024.0
25,1,"12,79",756.0,396.0,360.0,59.0,25721.0,"9,25927","54,054535",übrig. Schleswig-Holstein,gering besiedelt,1051026.0
26,1,"10,33",350.0,182.0,168.0,34.0,25727.0,"9,175759","54,023639",übrig. Schleswig-Holstein,gering besiedelt,1051032.0
27,1,"10,4",454.0,230.0,224.0,44.0,25712.0,"9,223435","54,02206",übrig. Schleswig-Holstein,gering besiedelt,1051037.0
28,1,"5,46",1059.0,531.0,528.0,194.0,25712.0,"9,293145","54,019564",übrig. Schleswig-Holstein,gering besiedelt,1051051.0
29,1,"11,37",601.0,307.0,294.0,53.0,25712.0,"9,192822","53,967853",übrig. Schleswig-Holstein,gering besiedelt,1051064.0
30,1,"6,95",189.0,94.0,95.0,27.0,25712.0,"9,206618","54,009984",übrig. Schleswig-Holstein,gering besiedelt,1051089.0
31,1,"23,06",3399.0,1665.0,1734.0,147.0,25693.0,"9,122148","53,994438",übrig. Schleswig-Holstein,gering besiedelt,1051097.0
32,1,"15,74",755.0,373.0,382.0,48.0,25727.0,"9,20886","54,04991",übrig. Schleswig-Holstein,gering besiedelt,1051110.0
34,1,"7,46",683.0,330.0,353.0,92.0,25709.0,"9,023165","53,946249",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte,1051021.0
35,1,"53,27",2539.0,1283.0,1256.0,48.0,25718.0,"8,89741","54,013926",Nordsee,gering besiedelt,1051034.0
36,1,"11,44",828.0,421.0,407.0,72.0,25709.0,"9,010226","53,977556",übrig. Schleswig-Holstein,gering besiedelt,1051046.0
37,1,"13,05",348.0,179.0,169.0,27.0,25709.0,"8,926364","53,942933",Nordsee,gering besiedelt,1051057.0
38,1,"28,84",803.0,411.0,392.0,28.0,25709.0,"8,964528","53,97171",Nordsee,gering besiedelt,1051062.0
39,1,"4,83",5951.0,2865.0,3086.0,1232.0,25709.0,"9,008761","53,953695",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte,1051072.0
40,1,"1,31",396.0,209.0,187.0,302.0,25709.0,"8,982956","53,948483",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte,1051073.0
41,1,"10,4",594.0,301.0,293.0,57.0,25724.0,"9,019046","53,907224",übrig. Schleswig-Holstein,gering besiedelt,1051076.0
42,1,"9,77",119.0,64.0,55.0,12.0,25724.0,"8,968827","53,906958",Nordsee,gering besiedelt,1051077.0
43,1,"4,8",148.0,75.0,73.0,31.0,25715.0,"9,090658","53,941207",übrig. Schleswig-Holstein,gering besiedelt,1051090.0
44,1,"5,91",178.0,97.0,81.0,30.0,25724.0,"9,040335","53,926172",übrig. Schleswig-Holstein,gering besiedelt,1051103.0
45,1,"7,79",253.0,136.0,117.0,32.0,25693.0,"9,025792","54,000236",übrig. Schleswig-Holstein,gering besiedelt,1051118.0
46,1,"16,78",330.0,182.0,148.0,20.0,25693.0,"9,065625","53,967901",übrig. Schleswig-Holstein,gering besiedelt,1051119.0
48,1,"5,11",163.0,90.0,73.0,32.0,25791.0,"9,174339","54,237387",übrig. Schleswig-Holstein,gering besiedelt,1051005.0
49,1,"2,64",36.0,16.0,20.0,14.0,25779.0,"9,209426","54,318469",übrig. Schleswig-Holstein,gering besiedelt,1051008.0
50,1,"21,77",736.0,378.0,358.0,34.0,25786.0,"9,369143","54,237892",übrig. Schleswig-Holstein,gering besiedelt,1051019.0
51,1,"15,84",735.0,372.0,363.0,46.0,25788.0,"9,252365","54,303978",übrig. Schleswig-Holstein,gering besiedelt,1051020.0
52,1,"7,82",618.0,312.0,306.0,79.0,25794.0,"9,301925","54,260654",übrig. Schleswig-Holstein,gering besiedelt,1051023.0
53,1,"9,69",280.0,144.0,136.0,29.0,25779.0,"9,132642","54,281144",übrig. Schleswig-Holstein,gering besiedelt,1051030.0
54,1,"6,45",173.0,84.0,89.0,27.0,25782.0,"9,225318","54,194896",übrig. Schleswig-Holstein,gering besiedelt,1051035.0
55,1,"4,69",111.0,57.0,54.0,24.0,25779.0,"9,216421","54,274547",übrig. Schleswig-Holstein,gering besiedelt,1051036.0
56,1,"7,9",84.0,54.0,30.0,11.0,25774.0,"8,989147","54,300165",übrig. Schleswig-Holstein,gering besiedelt,1051038.0
57,1,"16,53",493.0,261.0,232.0,30.0,25774.0,"9,010966","54,28021",übrig. Schleswig-Holstein,gering besiedelt,1051047.0
58,1,"21,93",1975.0,984.0,991.0,90.0,25779.0,"9,168248","54,283636",übrig. Schleswig-Holstein,gering besiedelt,1051049.0
59,1,"2,94",60.0,32.0,28.0,20.0,25782.0,"9,293409","54,243806",übrig. Schleswig-Holstein,gering besiedelt,1051052.0
60,1,"9,74",303.0,145.0,158.0,31.0,25788.0,"9,226797","54,290548",übrig. Schleswig-Holstein,gering besiedelt,1051053.0
61,1,"17,55",143.0,77.0,66.0,8.0,25774.0,"8,965495","54,292554",übrig. Schleswig-Holstein,gering besiedelt,1051058.0
