,crime,city,law,date,background,suspects,party,Land
0,Brandstiftung,Aachen,Â§ 306 StGB,15.06.2019,Nicht zuzuordnen,0,CDU,5
1,Diebstahl,Aachen,Â§ 242 StGB,19.04.2019,Links,0,Sonstige Partei,5
2,Sachbeschadigung,Aachen,Â§ 303 StGB,23.04.2019,Nicht zuzuordnen,0,CDU,5
3,Sachbeschadigung,Aachen,Â§ 303 StGB,10.05.2019,Rechts,1,GRÜNE,5
4,Korperverletzung,Aachen,Â§ 223 StGB,10.05.2019,Nicht zuzuordnen,1,GRÜNE,5
5,Sachbeschadigung,Aachen,Â§ 303 StGB,23.05.2019,Links,1,AfD,5
6,,Aalen,,,,,,8
7,,Aarbergen,,,,,,6
8,,Aasbuttel,,,,,,1
9,Sachbeschadigung,Abenberg,Â§ 303 StGB,04.05.2019,Links,0,AfD,9
10,Sachbeschadigung,Abenberg,Â§ 303 StGB,04.05.2019,Nicht zuzuordnen,0,SPD,9
11,Sachbeschadigung,Abenberg,Â§ 303 StGB,04.05.2019,Nicht zuzuordnen,0,GRÜNE,9
12,Sachbeschadigung,Abenberg,Â§ 303 StGB,04.05.2019,Nicht zuzuordnen,0,CSU,9
13,,Abenberger Wald,,,,,,9
14,,Abensberg,,,,,,9
15,,Abentheuer,,,,,,7
16,,Absberg,,,,,,9
17,,Abstatt,,,,,,8
18,,Abtsbessingen,,,,,,16
19,Sachbeschadigung,Abtsgmund,Â§ 303 StGB,20.05.2019,Nicht zuzuordnen,0,CDU,8
20,Sachbeschadigung,Abtsgmund,Â§ 303 StGB,20.05.2019,Nicht zuzuordnen,0,CDU,8
21,Sachbeschadigung,Abtsgmund,Â§ 303 StGB,20.05.2019,Nicht zuzuordnen,0,SPD,8
22,,Abtsteinach,,,,,,6
23,,Abtswind,,,,,,9
24,,Abtweiler,,,,,,7
25,,Achberg,,,,,,8
26,Verstoss gegen das Kunsturhebergesetz,Achern,KUG,07.08.2019,Links,0,AfD,8
27,Beleidigung,Achern,Â§ 185 StGB,04.05.2019,Links,0,AfD,8
28,Sachbeschadigung,Achern,Â§ 303 StGB,25.04.2019,Nicht zuzuordnen,0,AfD,8
29,Sachbeschadigung,Achern,Â§ 303 StGB,15.05.2019,Nicht zuzuordnen,0,AfD,8
30,Verstoss gegen das Kunsturhebergesetz,Achern,KUG,07.08.2019,Links,0,AfD,8
31,Sachbeschadigung,Achim,Â§ 303 StGB,21.05.2019,Links,0,AfD,3
32,,Achslach,,,,,,9
33,,Achstetten,,,,,,8
34,,Acht,,,,,,7
35,,Achtelsbach,,,,,,7
36,,Achterwehr,,,,,,1
37,,Achtrup,,,,,,1
38,,Adelberg,,,,,,8
39,,Adelebsen,,,,,,3
40,,Adelheidsdorf,,,,,,3
41,,Adelmannsfelden,,,,,,8
42,,Adelschlag,,,,,,9
43,,Adelsdorf,,,,,,9
44,Sachbeschadigung,Adelsheim,Â§ 303 StGB,12.05.2019,Nicht zuzuordnen,0,SPD,8
45,,Adelsried,,,,,,9
46,,Adelzhausen,,,,,,9
47,,Adenau,,,,,,7
48,,Adenbach,,,,,,7
49,,Adenbuttel,,,,,,3
50,,Adendorf,,,,,,3
51,,Adlkofen,,,,,,9
52,,Admannshagen-Bargeshagen,,,,,,13
53,,Adorf/Vogtl.,,,,,,14
54,,Aebtissinwisch,,,,,,1
55,,Aerzen,,,,,,3
56,,Affalterbach,,,,,,8
57,,Affing,,,,,,9
58,,Affinghausen,,,,,,3
59,,Affler,,,,,,7
60,,Agathenburg,,,,,,3
61,,Agethorst,,,,,,1
62,,Aglasterhausen,,,,,,8
63,,Aham,,,,,,9
64,Sachbeschadigung,Ahaus,Â§ 303 StGB,29.04.2019,Links,1,AfD,5
65,Diebstahl,Ahaus,Â§ 242 StGB,20.05.2019,Links,0,AfD,5
66,,Ahausen,,,,,,3
67,,Ahlbeck,,,,,,13
68,,Ahlden (Aller),,,,,,3
69,,Ahlefeld-Bistensee,,,,,,1
70,,Ahlen,,,,,,5
71,Diebstahl,Ahlerstedt,Â§ 242 StGB,12.05.2019,Links,4,AfD,3
72,,Ahlsdorf,,,,,,15
73,,Ahlstadt,,,,,,16
74,,Ahnatal,,,,,,6
75,,Ahneby,,,,,,1
76,,Ahnsbeck,,,,,,3
77,,Ahnsen,,,,,,3
78,,Aholfing,,,,,,9
79,,Aholming,,,,,,9
80,,Ahorntal,,,,,,9
81,,Ahrbruck,,,,,,7
82,,Ahrensbok,,,,,,1
83,Sachbeschadigung,Ahrensburg,Â§ 303 StGB,12.06.2019,Rechts,0,SPD,1
84,Sachbeschadigung,Ahrensburg,Â§ 303 StGB,12.06.2019,Rechts,0,GRÜNE,1
85,Sachbeschadigung,Ahrensfelde,STGB-303,06.08.2019,Links,0,AfD,12
86,Diebstahl,Ahrensfelde,STGB-242,06.08.2019,Links,0,AfD,12
87,Sachbeschadigung,Ahrensfelde,STGB-303,09.08.2019,Links,0,AfD,12
88,Sachbeschadigung,Ahrensfelde,STGB-303,12.08.2019,Links,0,AfD,12
89,Diebstahl,Ahrensfelde,STGB-242,12.08.2019,Links,0,AfD,12
90,Diebstahl,Ahrensfelde,STGB-242,12.08.2019,Links,0,AfD,12
91,Sachbeschadigung,Ahrensfelde,STG B-303,15.08.2019,Nicht zuzuordnen,1,SPD,12
92,Sachbeschadigung,Ahrensfelde,Â§ 303 StGB,21.04.2019,Nicht zuzuordnen,0,Sonstige Partei,12
93,Sachbeschadigung,Ahrensfelde,Â§ 303 StGB,28.04.2019,Nicht zuzuordnen,0,AfD,12
94,Sachbeschadigung,Ahrensfelde,Â§ 303 StGB,18.05.2019,Nicht zuzuordnen,2,SPD,12
95,Sachbeschadigung,Ahrensfelde,STGB-303,06.08.2019,Links,0,AfD,12
96,Diebstahl,Ahrensfelde,STGB-242,06.08.2019,Links,0,AfD,12
97,Sachbeschadigung,Ahrensfelde,STG B-303,09.08.2019,Links,0,AfD,12
98,Sachbeschadigung,Ahrensfelde,STG B-303,12.08.2019,Links,0,AfD,12
99,Diebstahl,Ahrensfelde,STGB-242,12.08.2019,Links,0,AfD,12
100,Diebstahl,Ahrensfelde,STGB-242,12.08.2019,Links,0,AfD,12
101,Sachbeschadigung,Ahrensfelde,STGB-303,15.08.2019,Nicht zuzuordnen,1,SPD,12
102,Sachbeschadigung,Ahrensfelde,STGB-303,06.08.2019,Links,0,GRÜNE,12
103,Sachbeschadigung,Ahrensfelde,Â§ 303 StGB,18.05.2019,Nicht zuzuordnen,2,Sonstige Partei,12
104,Sachbeschadigung,Ahrensfelde,STGB-303,06.08.2019,Links,0,CDU,12
105,Sachbeschadigung,Ahrensfelde,STGB-303,06.08.2019,Links,0,FDP,12
106,Sachbeschadigung,Ahrensfelde,STGB-303,06.08.2019,Links,0,SPD,12
107,,Ahrenshagen-Daskow,,,,,,13
108,,Ahrenshoft,,,,,,1
109,,Ahrenshoop,,,,,,13
110,,Ahrenviol,,,,,,1
111,,Ahrenviolfeld,,,,,,1
112,,Aicha vorm Wald,,,,,,9
113,,Aichach,,,,,,9
114,,Aichelberg,,,,,,8
115,,Aichen,,,,,,9
116,,Aichhalden,,,,,,8
117,,Aichstetten,,,,,,8
118,Beleidigung,Aichtal,Â§ 185 StGB,09.05.2019,Nicht zuzuordnen,0,GRÜNE,8
119,,Aichwald,,,,,,8
120,,Aidenbach,,,,,,9
121,,Aidhausen,,,,,,9
122,,Aidlingen,,,,,,8
123,,Aiglsbach,,,,,,9
124,,Ailertchen,,,,,,7
125,,Aindling,,,,,,9
126,,Ainring,,,,,,9
127,,Aislingen,,,,,,9
128,,Aiterhofen,,,,,,9
129,,Aitern,,,,,,8
130,,Aitrach,,,,,,8
131,,Aitrang,,,,,,9
132,,Aken (Elbe),,,,,,15
133,,Aland,,,,,,15
134,,Albaching,,,,,,9
135,,Albbruck,,,,,,8
136,Sachbeschadigung,Albershausen,Â§ 303 StGB,27.04.2019,Nicht zuzuordnen,0,GRÜNE,8
137,,Albersweiler,,,,,,7
138,,Albertshofen,,,,,,9
139,,Albessen,,,,,,7
140,,Albig,,,,,,7
141,,Albisheim (Pfrimm),,,,,,7
142,,Albsfelde,,,,,,1
