Lfd. Nr.;Tatzeit;Tatort;TV;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
1;07.07.2020;Halle;1;Rechts;STGB-185;Beleidigung;Bündnis 90/Die Grünen
2;06.07.2020;Bitterfeld-Wolfen;1;Rechts;STGB-185;Beleidigung;Bündnis 90/Die Grünen
3;22.07.2020;Panketal;1;Nicht zuzuordnen;STGB-187;Verleumdung;AfD
4;10.08.2020;Bernau;1;Links;STGB-187;Verleumdung;AfD
5;07.07.2020;Rheinsberg;2;Links;STGB-185;Beleidigung;AfD
6;30.08.2020;Birkenwerder;0;Rechts;STGB-303;Sachbeschädigung;SPD
7;04.07.2020;Biesenthal;1;Links;STGB-185;Beleidigung;AfD
8;05.07.2020;Biesenthal;1;Links;STGB-185;Beleidigung;AfD
9;24.08.2020;Jüterbog;1;Nicht zuzuordnen;STGB-241;Bedrohung;SPD
10;24.08.2020;Senftenberg;0;Nicht zuzuordnen;STGB-90B;Verunglimpfung von Verfassungsorganen;CDU
11;11.09.2020;Eberswalde;1;Links;STGB-185;Beleidigung;AfD
12;05.07.2020;Biesenthal;0;Links;STGB-185;Beleidigung;AfD
13;22.07.2020;Elsterwerda;0;Links;STGB-303;Sachbeschädigung;AfD
14;20.08.2020;Königs Wusterhausen;1;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
15;26.08.2020;Mittenwalde;1;Nicht zuzuordnen;STGB-185;Beleidigung;CDU
16;01.08.2020;Bestensee;2;Rechts;STGB-224;Gefährliche Körperverletzung;DIE LINKE.
17;12.09.2020;Neuhausen;0;Nicht zuzuordnen;STGB-242;Diebstahl;CDU
18;26.09.2020;Angermünde;0;Rechts;STGB-86A;Verunglimpfung des Bundespräsidenten;CDU
19;14.09.2020;Königs Wusterhausen;1;Nicht zuzuordnen;STGB-187;Verleumdung;Bündnis 90/Die Grünen
20;30.09.2020;Werben;1;Nicht zuzuordnen;STGB-185;Beleidigung;CDU
21;01.07.2020;Berlin;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;DIE LINKE.
22;03.07.2020;Berlin;0;Links;STGB-186;Üble Nachrede;AfD
23;06.07.2020;Berlin;0;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
24;06.07.2020;Berlin;0;Ausländische Ideologie;STGB-185;Beleidigung;AfD
25;10.07.2020;Berlin;0;Links;STGB-111;Öffentliche Aufforderung zu Straftaten;AfD
26;21.07.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;CSU
27;29.07.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;AfD
28;06.07.2020;Berlin;0;Nicht zuzuordnen;STGB-185;Beleidigung;CDU
29;18.07.2020;Berlin;1;Rechts;STGB-185;Beleidigung;CDU, Bündnis 90/Die Grünen
30;12.07.2020;Berlin;0;Rechts;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;DIE LINKE.
31;29.07.2020;Berlin;1;Rechts;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;CDU
32;21.07.2020;Berlin;0;Rechts;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;Bündnis 90/Die Grünen
33;10.07.2020;Berlin;0;Links;STGB-187;Verleumdung;AfD
34;13.07.2020;Berlin;0;Links;STGB-187;Verleumdung;keine Angabe
35;13.08.2020;Berlin;0;Links;STGB-306;Brandstiftung;AfD
36;14.08.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;AfD
37;13.07.2020;Berlin;0;Rechts;STGB-185;Beleidigung;DIE LINKE.
38;06.08.2020;Berlin;0;Links;STGB-185;Beleidigung;AfD
39;16.07.2020;Berlin;0;Links;STGB-303;Sachbeschädigung;AfD
40;09.08.2020;Berlin;0;Nicht zuzuordnen;STGB-185;Beleidigung;CDU
41;04.08.2020;Berlin;0;Nicht zuzuordnen;STGB-241;Bedrohung;Bündnis 90/Die Grünen
42;25.08.2020;Berlin;0;Links;STGB-111;Öffentliche Aufforderung zu Straftaten;AfD
43;28.08.2020;Berlin;1;Rechts;VERSG;;CDU
44;18.07.2020;Berlin;1;Rechts;STGB-188;Üble Nachrede und Verleumdung gg Personen der öffentlichen Lebens;CDU
45;14.07.2020;Berlin;0;Rechts;STGB-130;Volksverhetzung;Bündnis 90/Die Grünen
46;26.08.2020;Berlin;0;Nicht zuzuordnen;STGB-185;Beleidigung;CDU
47;18.08.2020;Berlin;0;Links;STGB-315B;Gefährlicher Eingriff in den Straßenverkehr;AfD
48;24.08.2020;Berlin;0;Nicht zuzuordnen;STGB-185;Beleidigung;CDU
49;07.09.2020;Berlin;1;Nicht zuzuordnen;STGB-130;Volksverhetzung;CDU
50;25.09.2020;Berlin;0;Links;STGB-185;Beleidigung;AfD
51;10.07.2020;Berlin;0;Links;STGB-185;Beleidigung;AfD
52;26.09.2020;Berlin;1;Links;STGB-223;Körperverletzung;AfD
53;26.09.2020;Berlin;0;Links;VERSG;;AfD
54;26.09.2020;Berlin;1;Links;STGB-185;Beleidigung;AfD
55;26.09.2020;Berlin;1;Links;STGB-185;Beleidigung;AfD
56;26.09.2020;Berlin;1;Links;STGB-185;Beleidigung;AfD
57;26.09.2020;Berlin;1;Links;STGB-185;Beleidigung;AfD
58;18.07.2020;Berlin;1;Rechts;STGB-185;Beleidigung;Bündnis 90/Die Grünen
59;03.07.2020;Ludwigsburg;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
60;01.07.2020;Horb;0;Rechts;STGB-185;Beleidigung;CDU
61;20.07.2020;Karlsruhe;0;Links;STGB-303;Sachbeschädigung;AfD
62;17.07.2020;Heilbronn;0;Links;STGB-303;Sachbeschädigung;AfD
63;20.07.2020;Stuttgart;0;Links;STGB-188;Üble Nachrede und Verleumdung gg Personen der öffentlichen Lebens;CDU
64;29.07.2020;Heilbronn;1;Nicht zuzuordnen;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;CDU
65;01.08.2020;Konstanz;0;Rechts;STGB-241;Bedrohung;keine Angabe
66;22.07.2020;Stuttgart;1;Nicht zuzuordnen;STGB-185;Beleidigung;keine Angabe
67;09.08.2020;Stuttgart;0;Nicht zuzuordnen;STGB-185;Beleidigung;Bündnis 90/Die Grünen
68;03.08.2020;Burladingen;1;Links;STGB-185;Beleidigung;AfD
69;04.08.2020;Aalen;0;Links;STGB-185;Beleidigung;keine Angabe
70;07.08.2020;Pleidelsheim;1;Links;STGB-303;Sachbeschädigung;AfD
71;03.09.2020;Urbach;0;Links;STGB-303;Sachbeschädigung;AfD
72;10.09.2020;Stuttgart;0;Links;STGB-303;Sachbeschädigung;AfD
73;26.08.2020;Bietigheim-Bissingen;0;Links;STGB-185;Beleidigung;AfD
74;26.08.2020;Bietigheim-Bissingen;0;Links;STGB-240;Nötigung;AfD
75;08.09.2020;Schorndorf;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;keine Angabe
76;05.07.2020;Memmingen;0;Links;STGB-303;Sachbeschädigung;AfD
77;10.07.2020;Ingolstadt;0;Links;STGB-241;Bedrohung;AfD
78;02.07.2020;Regensburg;1;Links;STGB-185;Beleidigung;AfD
79;10.07.2020;Geisenfeid;0;Links;STGB-241;Bedrohung;AfD
80;15.07.2020;München;0;Links;STGB-185;Beleidigung;keine Angabe
81;15.07.2020;Deggendorf;0;Links;STGB-269;Fälschung beweiserheblicher Daten;AfD
82;29.07.2020;Nördlingen;1;Links;STGB-223;Körperverletzung;AfD
83;29.07.2020;Nördlingen;2;Links;STGB-185;Beleidigung;AfD
84;10.08.2020;Nürnberg;0;Links;STGB-243;Schwerer Diebstahl;AfD
85;20.08.2020;Regensburg;0;Links;STGB-303;Sachbeschädigung;AfD
86;08.08.2020;Nürnberg;0;Nicht zuzuordnen;STGB-185;Beleidigung;Bündnis 90/Die Grünen
87;26.07.2020;München;0;Rechts;STGB-111;Öffentliche Aufforderung zu Straftaten;Bündnis 90/Die Grünen
88;26.08.2020;Mühldorf;0;Rechts;STGB-187;Verleumdung;DIE LINKE.
89;29.07.2020;Lindau;0;Links;STGB-315B;Gefährlicher Eingriff in den Straßenverkehr;AfD
90;11.09.2020;Rosenheim;0;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
91;11.09.2020;Rosenheim;0;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
92;11.09.2020;Rosenheim;0;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
93;11.09.2020;Rosenheim;0;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
94;11.09.2020;Rosenheim;0;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
95;11.09.2020;Rosenheim;0;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
96;11.09.2020;Rosenheim;0;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
97;11.09.2020;Rosenheim;0;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
98;11.09.2020;Rosenheim;0;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
99;11.09.2020;Rosenheim;0;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
100;11.09.2020;Rosenheim;0;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
101;11.09.2020;Rosenheim;0;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
102;11.09.2020;Rosenheim;0;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
103;11.09.2020;Rosenheim;0;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
104;21.09.2020;Bruckberg;0;Rechts;STGB-241;Bedrohung;FDP
105;16.07.2020;München;1;Links;STGB-187;Verleumdung;AfD
106;06.09.2020;Pullach;0;Nicht zuzuordnen;STGB-185;Beleidigung;CSU
107;12.08.2020;Herzogenaurach;1;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
108;19.09.2020;Veitsbronn;0;Nicht zuzuordnen;STGB-186;Üble Nachrede;SPD
109;21.07.2020;Marburg;0;Links;STGB-188;Üble Nachrede und Verleumdung gg Personen der öffentlichen Lebens;AfD
110;12.08.2020;Hanau;0;Links;STGB-186;Üble Nachrede;keine Angabe
111;23.08.2020;Erzhausen;0;Links;STGB-240;Nötigung;Bündnis 90/Die Grünen, CDU
112;24.08.2020;Erzhausen;0;Links;STGB-240;Nötigung;Bündnis 90/Die Grünen
113;13.07.2020;Hamburg;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
114;15.07.2020;Hamburg;0;Links;STGB-224;Gefährliche Körperverletzung;keine Angabe
115;09.07.2020;Lassan;1;Rechts;STGB-130;Volksverhetzung;keine Angabe
116;05.08.2020;Stralsund;3;Rechts;STGB-123;Hausfriedensbruch;SPD
117;13.08.2020;Stralsund;0;Links;STGB-303;Sachbeschädigung;AfD
118;12.09.2020;Rolofshagen;0;Links;STGB-185;Beleidigung;AfD
119;12.09.2020;Rolofshagen;0;Links;STGB-185;Beleidigung;AfD
120;11.09.2020;Schwerin;1;Nicht zuzuordnen;STGB-253;Erpressung;SPD
121;10.09.2020;Rostock;0;Links;STGB-185;Beleidigung;CDU
122;04.07.2020;Egestorf;1;Nicht zuzuordnen;STGB-241;Bedrohung;CDU
123;17.07.2020;Rosengarten;0;Rechts;STGB-185;Beleidigung;Bündnis 90/Die Grünen
124;26.07.2020;Cuxhaven;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
125;31.07.2020;Beverstedt;1;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
126;01.08.2020;Cuxhaven;1;Nicht zuzuordnen;STGB-185;Beleidigung;AfD
127;03.08.2020;Wildeshausen;1;Links;STGB-303;Sachbeschädigung;AfD
128;16.08.2020;Wurster Nordseeküste;0;Nicht zuzuordnen;STGB-111;Öffentliche Aufforderung zu Straftaten;CDU
129;20.08.2020;Suhlendorf;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
130;23.08.2020;Wolfenbüttel;1;Links;STGB-185;Beleidigung;AfD
131;24.08.2020;Wittingen;1;Links;STGB-185;Beleidigung;AfD
132;22.08.2020;Hagen;1;Nicht zuzuordnen;STGB-188;Üble Nachrede und Verleumdung gg Personen der öffentlichen Lebens;CSU
133;30.08.2020;Braunschweig;0;Links;STGB-303;Sachbeschädigung;AfD
134;31.08.2020;Braunschweig;0;Links;STGB-303;Sachbeschädigung;AfD
135;03.09.2020;Lüneburg;0;Links;STGB-303;Sachbeschädigung;SPD
136;05.09.2020;Eimke;1;Links;STGB-185;Beleidigung;AfD
137;06.09.2020;Braunschweig;0;Links;STGB-303;Sachbeschädigung;AfD
138;12.09.2020;Braunschweig;1;Links;STGB-123;Hausfriedensbruch;AfD
139;12.09.2020;Braunschweig;1;Links;STGB-123;Hausfriedensbruch;AfD
140;12.09.2020;Braunschweig;0;Links;STGB-224;Gefährliche Körperverletzung;AfD
141;12.09.2020;Braunschweig;0;Links;STGB-303;Sachbeschädigung;AfD
142;03.09.2020;Braunschweig;0;Links;STGB-303;Sachbeschädigung;AfD
143;15.09.2020;Braunschweig;0;Links;KUG;;AfD
144;19.09.2020;Göttingen;0;Nicht zuzuordnen;STGB-90;Verunglimpfung des Bundespräsidenten;CDU
145;03.09.2020;Übach-Palenberg;0;Nicht zuzuordnen;STGB-188;Üble Nachrede und Verleumdung gg Personen der öffentlichen Lebens;Bündnis 90/Die Grünen
146;29.08.2020;Wassenberg;0;Links;STGB-242;Diebstahl;AfD
147;31.08.2020;Düren;0;Nicht zuzuordnen;STGB-304;Gemeinschädliche Sachbeschädigung;CDU
148;04.07.2020;Salzkotten;0;Links;STGB-240;Nötigung;AfD
149;10.08.2020;Bielefeld;0;Nicht zuzuordnen;STGB-188;Üble Nachrede und Verleumdung gg Personen der öffentlichen Lebens;FDP
150;29.07.2020;Rheda-Wiedenbrück;0;Links;STGB-304;Gemeinschädliche Sachbeschädigung;AfD
151;24.08.2020;Bochum;0;Nicht zuzuordnen;STGB-188;Üble Nachrede und Verleumdung gg Personen der öffentlichen Lebens;Bündnis 90/Die Grünen
