Lfd Nr;Tatzeit;Tatort;TV;PHB;Zähldelikt;Bezeichnung;Betroffene Partei
1;05.10.2020;Sülzetal;0;Links;§ 303 StGB;Sachbeschädigung;AfD
2;12.10.2020;Neuruppin;0;Links;§ 303 StGB;Sachbeschädigung;AfD
3;13.10.2020;Neuruppin;0;Links;§ 303 StGB;Sachbeschädigung;AfD
4;11.10.2020;Alt Ruppin;0;Links;§ 303 StGB;Sachbeschädigung;AfD
5;13.10.2020;Neuruppin;3;Links;§ 303 StGB;Sachbeschädigung;AfD
6;02.11.2020;Neuruppin;0;Links;§ 243 StGB;Bes. schw. Fall des Diebstahls;AfD
7;27.10.2020;Dallgow-Döberitz;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige
8;01.11.2020;Neuruppin;0;Links;§ 303 StGB;Sachbeschädigung;AfD
9;02.10.2020;Stuttgart;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
10;09.10.2020;Stuttgart;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
11;29.10.2020;Stuttgart;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;BÜNDNIS 90/DIE GRÜNEN
12;12.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
13;13.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
14;10.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
15;08.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
16;11.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
17;13.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
18;12.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
19;16.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
20;12.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
21;17.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
22;13.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
23;01.11.2020;Brühl;0;Links;§ 303 StGB;Sachbeschädigung;AfD
24;16.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
25;17.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
26;17.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
27;17.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
28;17.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
29;18.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
30;18.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
31;18.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
32;27.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
33;27.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
34;02.12.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
35;02.12.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
36;02.12.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
37;01.12.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
38;01.12.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
39;02.12.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
40;02.12.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
41;02.12.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
42;24.11.2020;Karlsruhe;0;Links;§ 242 StGB;Diebstahl;AfD
43;31.10.2020;Karlsruhe;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige
44;02.11.2020;Stuttgart;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige
45;25.11.2020;Karlsruhe;1;Nicht zuzuordnen;§ 242 StGB;Diebstahl;AfD
46;03.12.2020;München;0;Links;§ 242 StGB;Diebstahl;AfD
47;11.11.2020;Hamburg;1;Links;§ 303 StGB;Sachbeschädigung;AfD
48;03.10.2020;Wittenburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
49;01.11.2020;Schwanewede;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;BÜNDNIS 90/DIE GRÜNEN
50;18.10.2020;Erkrath;0;Links;§ 303 StGB;Sachbeschädigung;AfD
51;03.10.2020;Iserlohn;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
52;20.10.2020;Siegen;1;Links;§ 303 StGB;Sachbeschädigung;AfD
53;03.11.2020;Bad Dürkheim;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
54;07.11.2020;Haßloch;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD
55;13.10.2020;Schleife;0;Links;§ 86a StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;AfD
56;08.10.2020;Chemnitz;0;Links;§ 303 StGB;Sachbeschädigung;CDU
57;03.10.2020;Zwickau;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
58;13.10.2020;Zwickau;0;Rechts;§ 86a StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;CDU
59;08.10.2020;Chemnitz;0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;SPD
60;18.10.2020;Radebeul;0;Links;§ 303 StGB;Sachbeschädigung;AfD
61;16.10.2020;Gera;0;Nicht zuzuordnen;§ 242 StGB;Diebstahl;SPD
