Lfd Nr;Tatzeit;Tatort;Sachverhalt;TV*;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
1;25.01.2021;Gardelegen;UT beschädigten, mutmaßlich mit einem Pflasterstein, die Scheibe eines CDU-Büros.;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
2;26.01.2021;Zerbst;UT brachten an einer AfD-Geschäftsstelle ein Graffiti und einen Aufkleber mit dem Schriftzug AfD wegnudeln an.;0;Links;§ 303 StGB;Sachbeschädigung;AfD
3;03.02.2021;Magdeburg;UT warfen Steine durch die Scheiben eines CDU-Wahlkreisbüros und sprühten Graffiti mit den Schriftzügen: Keine Deals mit der Türkei. Kriegstreiber stoppen.;0;Links;§ 303 StGB;Sachbeschädigung;CDU
4;08.02.2021;Dessau-Roßlau;UT beschmierten mit Farbe das Klingelschild des Büros der AfD Geschäftsstelle.;0;Links;§ 303 StGB;Sachbeschädigung;AfD
5;04.02.2021;Magdeburg;"UT besprühten die Eingangstür eines AfD-Wahlkreisbüros mit den Schriftzügen: FUCK FASCHOS; NAZIS RAUS!";0;Links;§ 303 StGB;Sachbeschädigung;AfD
6;07.03.2021;Dessau-Roßlau;"UT sprühten den Schriftzug ""Fuck AfD"" neben den Eingang eines AfD Wahlkreisbüros. Zusätzlich wurde ein A im Kreis gesprüht.";0;Links;§ 303 StGB;Sachbeschädigung;AfD
7;08.03.2021;Naumburg;Unbekannte Täter bewarfen das Schaufenster des AfD Büros mit ausgeblasenen Hühnereiern, welche mit roter Dispersionsfarbe gefüllt waren.;0;Links;§ 303 StGB;Sachbeschädigung;AfD
8;26.03.2021;Dessau-Roßlau;UT brachen in einem AfD Wahlkreisbüro ein und entwendeten Bargeld und Kassenbelege einer Spendenaktion. Des Weiteren wurden ein Mitgliedsordner und Anschriftenordner von AfD Mitgliedern entwendet.;0;Nicht zuzuordnen;§ 243 StGB;Bes. schwerer Diebstahl;AfD
9;22.03.2021;Naumburg;Unbekannte Täter bewarfen die Schaufensterscheibe der AfD-Kreisgeschäftsstelle mit Hühnereiern, welche mit roter Farbe gefüllt waren.;0;Links;§ 303 StGB;Sachbeschädigung;AfD
10;19.03.2021;Naumburg;Unbekannte Täter sprengten, vermutlich mit pyrotechnischen Erzeugnissen, den Briefkasten der Kreisgeschäftsstelle der AfD.;0;Links;§ 308 StGB;Herbeiführen einer Sprengstoffexplosion;AfD
11;26.03.2021;Wolmirstedt;"Ein unbekannter Täter hat ein Graffito auf den Schaufenstern des CDU Kreisverbands Börde hinterlassen. Es wurde ein Hakenkreuz mit dem Namensvorsatz ""ADolf Hitler"" aufgemalt.";0;Nicht zuzuordnen;§ 86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;CDU
12;18.02.2021;Rathenow;"Durch die BS wurden die Türschlösser der Geschäftsstelle der Partei ""Die Linke"" mittels Einbringen von Sekundenkleber und einem hölzernen Gegenstand beschädigt. Die Sachbeschädigungen der Geschäftsstelle waren im besonderen Maße öffentlichkeitswirksam.";2;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
13;31.01.2021;Rathenow;"Unbekannte Täter beschädigten die Eingangstüren des Büros der Partei ""Die Linke"", indem das Türschloss mittels Kleber verschlossen wurde. An der Fensterverglasung wurden Aufkleber mit dem Wortlaut ""Bitte flüchten sie weiter! Es gibt hier nichts zu wohnen! Refugees not welcome"" und ""Mir stinken die Linken"" angebracht.";0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
14;29.03.2021;Finsterwalde;Durch den UT wurden zwei Betonpflastersteine durch die Doppelverglasung der Eingangstür zum AfD Bürgerbüro geworfen. Die Scheiben wurden dabei komplett durchschlagen.;0;Links;§ 303 StGB;Sachbeschädigung;AfD
15;01.01.2021;Elsterwerda;"Der UT brachte an der Fensterscheibe eines Büros der Partei ""AfD"" einen Böller an und zündeten diesen. Diese Explosion verursachte ein 10x10cm großes Loch in der Doppelverglasung der Scheibe. Ein Tatverdächtiger wurde nachermittelt.";1;Links;§ 308 StGB;Herbeiführen einer Sprengstoffexplosion;AfD
16;21.03.2021;Spremberg;"Durch UT wurden an der Eingangstür und dem Briefkasten des Bürgerbüros der Partei ""SPD"" 2 Aufkleber angebracht. Auf diesen befindet sich im Vordergrund der Schriftzug ""Kein Mensch ist illegal"", im Hintergrund ist ein Brustbild von Adolf Hitler zu sehen. Zudem befindet sich unten rechts in einem Kreis ein angeketteter Fahnenträgerarm mit braunem Hemdärmel, ähnlich der SA-Uniform (die Aufmachung erinnert an das Antifazeichen Fahnen im Kreis). Auf der Fahne steht hier ""VOLK WACH AUF!"".";0;Nicht zuzuordnen;§ 86A StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;SPD
17;10.02.2021;Rathenow;"Die BS beschädigten die Türschlösser der Kreisgeschäftsstelle der Partei ""Die Linke"". Dabei wurde Sekundenkleber und ein hölzerner Gegenstand in die Schlösser eingebracht.";2;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
18;01.01.2021;Berlin;"Unbekannte Täter schmierten an die Hausfront des NPD Parteibüros den Schriftzug ""Nazi Schweine"".";0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei
19;22.01.2021;Berlin;"Unbekannte Täter warfen Steine gegen die Fassade eines Parteibüros (Bündnis 90/Die Grünen). Die Tat wird in Zusammenhang mit den am Eingangsbereich befestigten Plakaten mit der Aufschrift ""DANNENRÖDER FORST #FORST49: DIE GRÜNEN HAND IN HAND MIT UMWELTZERSTÖRER STRABAG"" gebracht. Ein SBS wurde auf Indymedia veröffentlicht. Als Begründung für diese Tat wird u. a. die Rolle von ""Rot-Grün beim Abholzen des Hambi in NRW, Schwarz-Grün beim Abholzen des Danni in Hessen. Rot-Rot-Grün beim Abholzen kollektiver Räume in Berlin. Ausschließlich Grün beim Unterwandern von Bizim Kiez in Kreuzberg."" genannt.";0;Links;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
20;02.02.2021;Berlin;UT bespritzten die gesamte Glasfront des SPD-Büros mit rosa Farbe. Vor dem Büro konnten 2 Bekennerschreiben gesichert werden. Demnach handelt es hierbei um eine Aktionsform, welche sich auf die Kriegstreiberei im Nahen Osten bezieht. NM 04.02.21: TF gelöscht/ergänzt, PB geändert;0;Ausländische Ideologie;§ 303 StGB;Sachbeschädigung;SPD
21;02.02.2021;Berlin;"Unbekannte Täter beschmutzten die Schaufensterscheibe des Kreisbüros der SPD Neukölln durch rote Farbbomben. Weiterhin wurde der rote Schriftzug ""Free Kur"" angebracht. Unter dem Fenster auf dem Gehweg wurden Zettel verteilt die an die Nachbarn/Menschen gerichtet sind. Eine Unterschrift gibt es nicht. Inhalt: gegen Regierung und gegen Erdogan.";0;Ausländische Ideologie;§ 303 StGB;Sachbeschädigung;SPD
22;02.02.2021;Berlin;"Unbekannte Täter beschmutzten die Fassade des Objektes, worin sich eine SPD Bürozentrale befindet. Weiterhin befanden sich einige DIN A4 Zettel auf dem Gehweg mit folgenden Textpassagen: "" Verschließt nicht länger eure Augen, denn wir können nicht mehr zusehen, wie täglich unschuldige Menschen mit deutschen Waffen ermordet werden. Die SPD und CDU und viele deutsche Institutionen haben Blut an ihren Händen..."" und "" Wir als Bevölkerung müssen jetzt unser Schweigen brechen und deutschen Regierung zeigen: Deutschland finanziert - Erdogan bombardiert? Nicht mit uns!"". Adressat des Schreibens war die Nachbarschaft und die Menschen, die für Gerechtigkeit kämpfen. Auf www.indymedia.org wurde hierzu ein SBS eingestellt. Änderung PB 16.03.21";0;Links;§ 303 StGB;Sachbeschädigung;CDU, SPD
23;14.02.2021;Berlin;"Unbekannte Täter beschädigten insgesamt 8 Glasfenster-Fronten und zwei Glastüren an dem dortigen Wahlkreisbüro der Partei ""Die Linke"" mit einem unbekannten Gegenstand. In einem SBS, welches auf www.indymedia veröffentlicht wurde, beziehen sich die Verfasser auf die Räumung der Zeltstadt in der Rummelsburger Bucht.";0;Links;§ 303 StGB;Sachbeschädigung;Die Linke
24;22.02.2021;Berlin;"Die beiden Schaufensterscheiben des Wahlkreisbüros der SPD wurden von unbekannt gebliebenen Tätern beschädigt. Die Scheiben sind jeweils Spinnennetzartig gesprungen. Zudem wurde der Schriftzug ""Bucht + Riga Bleibt"" aufgetragen. Auf dem Gehweg vor dem Wahlkreisbüro befanden sich zwei Kleinpflastersteine.";0;Links;§ 303 StGB;Sachbeschädigung;SPD
25;24.02.2021;Berlin;"Eine Personengruppe von mehr als 20 Personen verteilte vor der SPD-Zentrale Flyer mit der Aufschrift ""Stoppt die türkische Besatzung! Wir geben euch eure Waffen zurück."" Auf der Rückseite wendet man sich an Passantinnen und Passanten und berichtet über den Waffenhandel zwischen Deutschland und der Türkei. Zudem wird von Angriffen auf südkurdische/nordirakische Gebiete berichtet. Des Weiteren wird folgendes geschrieben: ""Wir werden den deutschen Handel mit Kriegsverbrechern nicht länger hinnehmen! Deswegen wollen wir heute den Kriegsprofiteuren ihre Panzer zurückbringen. Kommt mit, schließt euch uns an, lasst uns ihnen zeigen, wie es ist einen Panzer vor der Haustür zu haben!"" (sic!). Zudem führten die Personen einen aus einem Einkaufswagen und Karton gebastelten Panzer mit der Aufschrift ""SPD"" mit. Die in unmittelbarer Nähe angetroffenen acht Personen gaben auf Befragen an, sich am gestrigen Abend spontan zu diesem Kunstprojekt entschlossen zu haben. Eine Anmeldung lag nicht vor.";0;Links;VERSG;;SPD
26;01.03.2021;Berlin;"Unbekannte Täter besprühten die Schaufensterscheiben des CDU Bürgerbüros mit Lackfarbe. Folgende Schriftzüge wurde angebracht: SISTER PARTY - BROTHER MURDER - KaFONTINA. Schriftzug bezieht sich augenscheinlich auf den griechischen Kommunisten Dimitris Koufontinas (Mitglied der griechischen marxistischen terroristischen Organisation ""17. November""), welcher sich in Griechenland im Hungerstreik befindet.";0;Links;§ 303 StGB;Sachbeschädigung;CDU
27;01.03.2021;Berlin;"Unbekannte Täter*innen besprühten das an der Fassade angebrachte Schild ,,CDU Landesverband Berlin"" komplett mit roter Farbe. In unmittelbarer Nähe wurde auf die Fassade mit der gleichen Farbe der Schriftzug ,,FREE"" aufgetragen. Da in der Umgebung bereits ähnliche Schriftzüge ,,Free Moria"" in Verbindung mit den Anarcho ,,A"" bemerkt wurden, vermutet der Anzeigende, dass die Täter*innen bei der Tatausführung gestört wurden.";0;Links;§ 303 StGB;Sachbeschädigung;CDU
28;01.03.2021;Berlin;Unbekannte Täter besprühten das links am Hauseingang befindliche Hinweisschild auf die Kreisgeschäftsstelle des CDU-Kreisverbandes mit roter Farbe. Im gleichen Farbton wurden rechts neben dem Hauseingang auf den Rauhputz die Worte CDU MORDET MIT sowie ein Anarchie-Symbol gesprüht.;0;Links;§ 303 StGB;Sachbeschädigung;
29;04.03.2021;Berlin;"Auf den Rollladen des CDU Kreisverbandes Neukölln wurde der rote Schriftzug ""CDU-ND...ermord...Koufodinas"" festgestellt. Zusammenhang mit dem Hungerstreik des griechischen Kommunisten Dimitris Koufontinas (Mitglied der griechischen marxistischen terroristischen Organisation ""17. November"").";0;Links;§ 303 StGB;Sachbeschädigung;CDU
30;02.03.2021;Berlin;"Unbekannte Täter besprühten die CDU Kreisgeschäftsstelle mit den roten Schriftzügen ""FREE KOUFUTINAS"" und "" Sisters perties Brother murder"". Zwischen den Satzteilen wurden Anarchiezeichen angebracht. Zusammenhang mit dem Hungerstreik des griechischen Kommunisten Dimitris Koufontinas (Mitglied der griechischen marxistischen terroristischen Organisation ""17. November"").";0;Links;§ 303 StGB;Sachbeschädigung;CDU
31;24.01.2021;Berlin;"Unbekannte Tatverdächtige sprühten ein Antifazeichen in roter Farbe und den Schriftzug: ""GOODNIGHT WHITE PRIDE"" in weißer Farbe an die Hauswand der NPD Parteizentrale.";0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei
32;12.03.2021;Berlin;Die beiden vermummten, unbekannt gebliebenen Täter besprühten die Tür und Fenster eines AfD-Parteibüros. Die Tatausführung wurde durch drei Überwachungskameras dokumentiert.;0;Links;§ 303 StGB;Sachbeschädigung;AfD
33;19.03.2021;Berlin;Eine unbekannte Täterin beschädigte am Abgeordnetenbüro des Geschädigten die Klappe des Briefkastens.;0;Links;§ 303 StGB;Sachbeschädigung;AfD
34;25.03.2021;Berlin;Unbekannte Tatverdächtige beschädigten die Schaufensterscheibe des Wahlkreisbüros der Geschädigten mit unbekanntem Tatmittel.;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
35;26.03.2021;Berlin;"Drei vermummte Täter wurden beobachtet, wie sie Steine auf das Büro der Partei ""Die Linke"" warfen. Hierbei wurden mehrere Fenster des Büros beschädigt. Die Täter flüchteten per Fahrrad. Das Wahlkreisbüro war zum wiederholten Mal Angriffsziel der linken Szene.";0;Links;§ 303 StGB;Sachbeschädigung;Die Linke
36;26.03.2021;Berlin;"Unbekannte Täter beschrifteten die Fassade der NPD Parteizentrale mit weißen Anarchie Symbolen, einem Hammer und Sichel Symbol, sowie den Schriftzügen ""NAZIS RAUS"" und ""DulPi Verein"". Ergänzung AZ 31.03.21";0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei
37;30.03.2021;Berlin;"Unbekannte Täter besprühten die Fassade der NPD Parteizentrale zum wiederholten Male. Angebracht wurden ein Peace-Zeichen, ein Anarchiezeichen und die Schriftfolge ""FCK NZS"".";0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei
38;14.03.2021;Berlin;"Unbekannte Tatverdächtige beschmierten das Klingeltableau des Parteibüros mit dem Schriftzug ""FUCK NA(L)S"". (Anm.: womöglich ""nazis"").";0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei
39;16.02.2021;Heilbronn;"UT besprühte mittels grüner und roter Sprühfarbe und mittels Schablone an den Schaukasten und die Eingangstüre des AfD-Kreisverbandsbüros in Heilbronn 2 Schriftzüge ""Nicht witzig"". Laut FZA 3/2021 wurde PHB in Nicht zuzuordnen geändert.";0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD
40;02.03.2021;Heilbronn;"Unbekannte Täterschaft beschädigt im angegebenen Zeitraum die an der Außenfassade angebrachte Plastikabdeckung des Geschäftsstellen-Schildes der ""AfD"", in dem diese mit weißer Farbe komplett bemalt wurde.";0;Links;§ 303 StGB;Sachbeschädigung;AfD
41;07.03.2021;Kernen;Durch die beiden BS, welche dem linksextremistischen Spektrum zugeordnet werden können, wurden die drei GS, welche alle der AfD zugehörig sind und im Rahmen der Landtagswahlen Flyer verteilten, angegangen. Laut NM vom 31.03.2021 wurde Extremistisch in Ja geändert.;2;Links;§ 242 StGB;Diebstahl;AfD
