Lfd Nr;Tatzeit;Tatort;Sachverhalt;TV;Phänomenbereic h;Zähldelikt §;Bezeichnung;Betroffene Partei
1;11.01.2021;Magdeburg;Bei dem GE (Parteimitglied der NPD) wurde durch UT eine Sachbeschädigung an seinem PKW durchgeführt. Die Fensterscheiben wurden eingeschlagen und vermutlich Buttersäure durch die zerbrochene Fensterscheibe geschüttet. Lt. AM vom 16.1.21 wurde AZ Person, Sonstige Partei und Parteirepräsentant ergänzt.;0;Links;§303 StGB;Sachbeschädigung;Sonstige Partei
2;26.01.2021;Tangermünde;"Die Geschädigte wurde auf der Online-Plattform Facebook als ""Nazi"" bezeichnet, weil sie ein Mitglied der AfD ist.";1;Links;§185 StGB;Beleidigung;AfD
3;04.02.2021;Tangermünde;"Der TV beleidigte ein Parteimitglied der AfD (stellvertr. Vorsitzender im Kreisverband Börde) in Facebook mit ""Neonazi"" und ""menschlicher Abfall"".";1;Links;§185 StGB;Beleidigung;AfD
4;20.03.2021;Magdeburg;"Herr K. (Geschäftsführer der AfD-Fraktion) erhielt am 20. März 2021 einen Anruf auf seinem Diensttelefon. Der Stimme nach offensichtlich eine Frau, die sich erkundigte, mit wem sie spreche. Herr K. nannte seinen Namen, worauf die Frau mehrfach meinte ""Sie sind ein Rassist!"" Auf Nachfrage, wieso eine solche Aussage getroffen werde, teilte die Tatverdächtigte mit, dass er bei der AfD arbeite und deshalb Rassist sei.";1;Nicht zuzuordnen;§185 StGB;Beleidigung;AfD
5;14.03.2021;Frankfurt;Der GS ist Inhaber eines Cafes und gab ein Interview bei einem regionalen Radiosender. Am Tag zuvor wurde entschieden, das Interview nicht auszustrahlen, da der GS im Zusammenhang mit der AfD aufgefallen ist. Nun hat der BS (Betreiber des Radiosenders) eine Stellungnahme geschrieben und den GS dort als Populist bezeichnet, was sich geschäftsschädigend auf sein Cafe auswirkt. Der GS wehrt sich gegen den Vorwurf und findet es anmaßend, dass er als solcher bezeichnet wird. Er bat den BS diese Stellungnahme zu entfernen, jedoch war/ist dieser dazu nicht bereit. ;1;Links;§187 StGB;Verleumdung;AfD
6;12.03.2021;Forst;Durch den BS (Reichsbürger/Selbstverwalter) wurde eine personalisierte E-Mail an den GS (Landrat) des Landkreises Spree-Neiße geschickt, in welcher der BS fordert, sämtliche Verfahren gegen seine Person einzustellen, weil die BRD und die Gesetze nicht existieren.;1;Nicht zuzuordnen;§240 StGB;Nötigung;CDU
7;21.01.2021;Zossen;"Im Zusammenhang mit einer politischen Debatte im Stadtparlament Zossen wurden die hier GS als Abgeordneter der SPD durch den BS öffentlich bei Facebook als ""Volksverräter"" beschimpft.";1;Nicht zuzuordnen;§188 StGB;Üble Nachrede und Verleumdung gg. Personen des pol. Lebens;SPD
8;31.01.2021;Cottbus;"Der UT besprühte die Fassade eines Wohnhauses mit dem Schriftzug ""KULTUR"". In das ""K"" wurde mit rosa Signalfarbe ""FUCK JENS"" gesprüht. Das ganze Gebilde bezieht auf die ""CORONA-Maßnahmen"" der Bundesregierung und des Gesundheitsministers. cov#19.";0;Nicht zuzuordnen;§303 StGB;Sachbeschädigung;CDU
9;19.01.2021;Cottbus;"Der GS (Ordnungsamtsdezernent der Stadt Cottbus, Kommunalpolitiker) erhielt an seine Dienstadresse ein anonymes Schreiben gesandt, in welchem er nach seiner angeblich zu Unrecht erhaltenen Corona-Impfung aufgefordert wird von seinem Amt zurückzutreten und als ""Dreckschwein"" beschimpft wird. cov#19.";0;Nicht zuzuordnen;§185 StGB;Beleidigung;CDU
10;21.02.2021;Schönwalde-Glien;"Die GS gaben an, dass sie sich durch einen anonym erstellten öffentlichkeitswirksamen Beitrag im Internet in ihrer persönlichen Ehre verletzt sehen. Flintergrund ist die Vermietung einer Veranstaltungshalle an den Landesverband der AfD Berlin und der Gleichstellung ihrer Person mit ""blaubraunen Nazibanden"".";0;Links;§185 StGB;Beleidigung;AfD
11;25.02.2021;Rathenow;"Der BS beleidigte den Bundesminister des Innern, für Bau und Fleimat Florst Seehofer (CSU) per E-Mail unter anderem als ""rechtsradikales Schwein"", ""demenzkranker Machtbesessener"", ""Nazi"", ""Lügenschwein"" und ""rechtsradikale Lügenfotze"".";1;Links;§185 StGB;Beleidigung;CSU
12;15.03.2021;Schlieben;"Die GS (MdL Die Linke) wird nach einer Rede im Landtag, in welcher sie die Antifa vor verbalen Angriffen der AfD verteidigte, auf Facebook massiv beleidigt. Der BS äußerte: ""Und wieder so ein fetter, hässlicher Schlumpf der versucht wichtig zu sein"".";1;Rechts;§185 StGB;Beleidigung;Die Linke
13;15.03.2021;Königs Wusterhausen;"Der BS betrieb während der genehmigten Anti-Corona Demo unter dem Motto ""Demokratie"" aus seinem Pkw heraus zur Unterstützung eine Musikanlage. Dabei unterlegte er die abgespielte Musik immer wieder mit den Rufen: ""Merkel in den Knast, Merkel in den Knast, Steinmeier in den Knast, Steinmeier in den Knast, Drosten in den Knast, Drosten in den Knast"". Die Textzeilen wurden durch eine weibliche Computerstimme vorgetragen. cov#19.";1;Nicht zuzuordnen;§90B StGB;Verfassungsfeindlich e Verunglimpfung von Verfassungsorganen;SPD, CDU
