Satz-art;Text-kenn-zeichen;Land;RB;Kreis;VB;Gem;Gemeindename;;insgesamt;männlich;weiblich;je km2;plz;Längengrad;Breitengrad;key_travel;Reisegebiete;Schlüssel;Grad der Verstädterung
10;;1;;;;;Schleswig-Holstein;;;;;;;;;;;;
40;41;1;0;1;;;Flensburg, Stadt;;;;;;;;;;;;
50;50;1;0;1;0;;Flensburg, Stadt;;;;;;;;;;;;
60;61;1;0;1;0;0;Flensburg, Stadt;56,74; 87 432; 43 617; 43 815; 1 541;24937;9,43751;54,78252;F02;Ostsee;1;dicht besiedelt
40;41;1;0;2;;;Kiel, Landeshauptstadt;;;;;;;;;;;;
50;50;1;0;2;0;;Kiel, Landeshauptstadt;;;;;;;;;;;;
60;61;1;0;2;0;0;Kiel, Landeshauptstadt;118,65; 247 441; 120 473; 126 968; 2 085;24103;10,13727;54,321775;F02;Ostsee;1;dicht besiedelt
40;41;1;0;3;;;Lübeck, Hansestadt;;;;;;;;;;;;
50;50;1;0;3;0;;Lübeck, Hansestadt;;;;;;;;;;;;
60;61;1;0;3;0;0;Lübeck, Hansestadt;214,21; 216 712; 103 921; 112 791; 1 012;23539;10,683932;53,866269;F02;Ostsee;1;dicht besiedelt
40;41;1;0;4;;;Neumünster, Stadt;;;;;;;;;;;;
50;50;1;0;4;0;;Neumünster, Stadt;;;;;;;;;;;;
60;61;1;0;4;0;0;Neumünster, Stadt;71,63; 79 680; 39 438; 40 242; 1 112;24534;9,988422;54,069895;F04;übrig. Schleswig-Holstein;1;dicht besiedelt
40;43;1;0;51;;;Dithmarschen;;;;;;;;;;;;
50;50;1;0;51;11;;Brunsbüttel, Stadt;;;;;;;;;;;;
60;63;1;0;51;11;11;Brunsbüttel, Stadt;65,2; 12 801; 6 433; 6 368;196;25541;9,13735;53,896932;F01;Nordsee;2;mittlere Besiedlungsdichte
50;50;1;0;51;44;;Heide, Stadt;;;;;;;;;;;;
60;63;1;0;51;44;44;Heide, Stadt;31,97; 21 529; 10 208; 11 321;673;25746;9,091156;54,193962;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;51;1;0;51;5163;;Burg-St. Michaelisdonn;;;;;;;;;;;;
60;64;1;0;51;5163;3;Averlak;9,07;576;302;274;64;25715;9,182663;53,941154;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;10;Brickeln;6,07;220;115;105;36;25712;9,221166;54,00849;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;12;Buchholz;14,56; 1 005;511;494;69;25712;9,223594;53,987198;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;16;Burg (Dithmarschen);11,23; 4 128; 2 015; 2 113;368;25712;9,26246;53,99748;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;22;Dingen;7,02;620;312;308;88;25715;9,125804;53,960888;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;24;Eddelak;9,21; 1 363;673;690;148;25715;9,137433;53,945888;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;26;Eggstedt;12,79;760;380;380;59;25721;9,25927;54,054535;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;32;Frestedt;10,33;360;186;174;35;25727;9,175759;54,023639;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;37;Großenrade;10,4;477;239;238;46;25712;9,223435;54,02206;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;51;Hochdonn;5,46; 1 151;567;584;211;25712;9,293145;54,019564;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;64;Kuden;11,37;611;320;291;54;25712;9,192822;53,967853;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;89;Quickborn;6,95;179;88;91;26;25712;9,206618;54,009984;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;97;Sankt Michaelisdonn;23,07; 3 420; 1 697; 1 723;148;25693;9,122148;53,994438;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5163;110;Süderhastedt;15,74;836;406;430;53;25727;9,20886;54,04991;F04;übrig. Schleswig-Holstein;3;gering besiedelt
50;51;1;0;51;5166;;Marne-Nordsee;;;;;;;;;;;;
60;64;1;0;51;5166;21;Diekhusen-Fahrstedt;7,46;730;361;369;98;25709;9,019338;53,947392;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;34;Friedrichskoog;53,35; 2 541; 1 288; 1 253;48;25718;8,89741;54,013926;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5166;46;Helse;11,44;851;435;416;74;25709;9,010226;53,977556;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;57;Kaiser-Wilhelm-Koog;13,06;349;181;168;27;25709;8,926364;53,942933;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5166;62;Kronprinzenkoog;28,85;823;417;406;29;25709;8,964528;53,97171;F01;Nordsee;3;gering besiedelt
60;63;1;0;51;5166;72;Marne, Stadt;4,83; 5 796; 2 757; 3 039; 1 200;25709;9,008761;53,953695;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5166;73;Marnerdeich;1,31;395;208;187;302;25709;8,982956;53,948483;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5166;76;Neufeld;10,41;584;297;287;56;25724;9,019046;53,907224;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;77;Neufelderkoog;9,76;119;63;56;12;25724;8,968827;53,906958;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5166;90;Ramhusen;4,8;160;81;79;33;25715;9,090658;53,941207;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;103;Schmedeswurth;5,91;187;99;88;32;25724;9,040335;53,926172;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;118;Trennewurth;7,79;253;139;114;32;25693;9,025792;54,000236;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5166;119;Volsemenhusen;16,78;351;189;162;21;25693;9,065625;53,967901;F04;übrig. Schleswig-Holstein;3;gering besiedelt
50;55;1;0;51;5169;;Eider;;;;;;;;;;;;
60;64;1;0;51;5169;5;Barkenholm;5,11;164;88;76;32;25791;9,174339;54,237387;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;8;Bergewöhrden;2,64;34;15;19;13;25779;9,209426;54,318469;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;19;Dellstedt;21,77;740;388;352;34;25786;9,369143;54,237892;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;20;Delve;15,84;678;343;335;43;25788;9,252365;54,303978;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;23;Dörpling;7,82;610;315;295;78;25794;9,301925;54,260654;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;30;Fedderingen;9,69;285;143;142;29;25779;9,132642;54,281144;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;35;Gaushorn;6,45;174;84;90;27;25782;9,225318;54,194896;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;36;Glüsing;4,69;124;62;62;26;25779;9,216421;54,274547;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;38;Groven;7,9;88;53;35;11;25774;8,989147;54,300165;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;47;Hemme;16,53;494;263;231;30;25774;9,010966;54,28021;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;49;Hennstedt;21,93; 1 943;965;978;89;25779;9,168248;54,283636;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;52;Hövede;2,94;64;32;32;22;25782;9,293409;54,243806;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;53;Hollingstedt;9,74;300;147;153;31;25788;9,226797;54,290548;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;58;Karolinenkoog;17,55;144;82;62;8;25774;8,965495;54,292554;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;60;Kleve;12,81;426;223;203;33;25779;9,123229;54,295706;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;61;Krempel;4,83;589;294;295;122;25774;9,027607;54,320019;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;65;Lehe;18,63; 1 062;528;534;57;25774;9,025334;54,344168;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;68;Linden;11,62;861;440;421;74;25791;9,182428;54,252623;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;71;Lunden;4,65; 1 700;862;838;366;25774;9,024249;54,330568;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;80;Norderheistedt;4,33;142;73;69;33;25779;9,146139;54,245331;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;88;Pahlen;10,8; 1 199;599;600;111;25794;9,296387;54,267813;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;92;Rehm-Flehde-Bargen;14,63;512;249;263;35;25776;9,036287;54,303981;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;96;Sankt Annen;14,89;325;173;152;22;25776;9,07975;54,345413;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;100;Schalkholz;12,5;588;295;293;47;25782;9,257028;54,246244;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;102;Schlichting;12,5;246;127;119;20;25779;9,089378;54,31014;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;114;Tellingstedt;21,1; 2 638; 1 299; 1 339;125;25782;9,2822;54,219944;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;117;Tielenhemme;12,71;167;83;84;13;25794;9,398414;54,27746;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;120;Wallen;1,86;37;17;20;20;25788;9,269563;54,284766;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;125;Welmbüttel;7,6;436;210;226;57;25782;9,246826;54,196873;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;131;Westerborstel;4,14;106;48;58;26;25782;9,260601;54,220127;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;133;Wiemerstedt;5,08;154;71;83;30;25779;9,11111;54,269259;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;136;Wrohm;11,45;677;364;313;59;25799;9,379505;54,212642;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;139;Süderdorf;16,21;361;183;178;22;25782;9,343678;54,220732;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5169;141;Süderheistedt;8,44;552;272;280;65;25779;9,148463;54,23483;F04;übrig. Schleswig-Holstein;3;gering besiedelt
50;55;1;0;51;5172;;Heider Umland;;;;;;;;;;;;
60;64;1;0;51;5172;48;Hemmingstedt;16,01; 2 863; 1 425; 1 438;179;25770;9,073156;54,14876;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;67;Lieth;4,66;391;182;209;84;25770;9,060773;54,15531;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;69;Lohe-Rickelshof;5,39; 2 091;995; 1 096;388;25746;9,065603;54,187725;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5172;75;Neuenkirchen;25,14;999;527;472;40;25792;8,987884;54,235602;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;81;Norderwöhrden;18,47;269;147;122;15;25746;9,000232;54,192783;F04;übrig. Schleswig-Holstein;3;gering besiedelt
