,date,place,suspects,background,law,crime,party_1,party_2,party_3,party_4,party_5,party_6,party_7,id
0,01.07.2019,Greifswald,0,Links,STGB-242,Diebstahl,AfD,,,,,,,0
1,02.07.2019,Stassfurt,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,AfD,,,,,,,1
2,09.07.2019,Gotha,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,2
3,11.07.2019,Luckenwalde,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,3
5,13.07.2019,Oldenburg,0,Nicht zuzuordnen,STGB-243,Besonders schwerer Fall des Diebstahls des Diebstahls,AfD,,,,,,,5
6,13.07.2019,Bad Liebenstein,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,6
7,14.07.2019,Leipzig,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,7
8,18.07.2019,Wismar,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,8
9,18.07.2019,Torgau,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,9
13,21.07.2019,Giessen,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Die Linke,,,,,,,13
14,22.07.2019,Kothen,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,AfD,,,,,,,14
15,22.07.2019,Stendal,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Die Linke,,,,,,,15
19,22.07.2019,Berlin,0,Rechts,STGB-126,Straftaten,Die Linke,,,,,,,19
23,22.07.2019,Berlin,0,Rechts,STGB-126,Straftaten,SPD,,,,,,,23
24,22.07.2019,Detmold,0,Links,STGB-303,Sachbeschadigung,CDU,,,,,,,24
26,23.07.2019,Berlin,0,Rechts,STGB-126,Storung des offentlichen Friedens,Grune,,,,,,,26
29,26.07.2019,Bitburg,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,29
30,26.07.2019,Wurzen,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,30
31,30.07.2019,Hoyerswerda,1,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,31
32,02.08.2019,Nienburg,0,Rechts,STGB-303,Sachbeschadigung,SPD,,,,,,,32
33,03.08.2019,Furth,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,33
34,07.08.2019,Lubben,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Grune,,,,,,,34
36,07.08.2019,Nordhausen,0,Links,STGB-90A,Verunglimpfung staatlicher Symbole,AfD,,,,,,,36
37,09.08.2019,Lugau,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,37
38,11.08.2019,Greven,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Grune,,,,,,,38
39,11.08.2019,Lugau,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,39
40,12.08.2019,Stralsund,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,40
41,17.08.2019,Plauen,0,Links,STGB-303,Sachbeschadigung,Sonstige,,,,,,,41
42,18.08.2019,Berlin,0,Links,STGB-303,Sachbeschadigung,SPD,,,,,,,42
43,22.08.2019,Verden,0,Rechts,STGB-303,Sachbeschadigung,SPD,,,,,,,43
44,22.08.2019,Rochlitz,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,44
45,28.08.2019,Wismar,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,45
46,28.08.2019,Dresden,0,Rechts,STGB-303,Sachbeschadigung,CDU,,,,,,,46
47,28.08.2019,Leipzig,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,47
48,31.08.2019,Torgau,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,48
49,01.09.2019,Berlin,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Grune,,,,,,,49
50,01.09.2019,Zwickau,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,Grune,,,,,,,50
51,04.09.2019,Gera,1,Nicht zuzuordnen,STGB-303,Sachbeschadigung,AfD,,,,,,,51
52,13.09.2019,Berlin,0,Links,STGB-303,Sachbeschadigung,CDU,,,,,,,52
53,14.09.2019,Meissen,0,Links,STGB-306,Brandstiftung,AfD,,,,,,,53
55,14.09.2019,Heiligenstadt,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,55
56,15.09.2019,Bergen,0,Links,STGB-242,Diebstahl,AfD,,,,,,,56
58,15.09.2019,Zwickau,0,Links,STGB-303,Sachbeschadigung,MD,,,,,,,58
59,16.09.2019,Quedlinburg,0,Links,STGB-303,Sachbeschadigung,MD,,,,,,,59
60,16.09.2019,Waldbrol,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,SPD,,,,,,,60
61,18.09.2019,Eisenach,0,Links,STGB-303,Sachbeschadigung,Sonstige,,,,,,,61
62,20.09.2019,Berlin,1,Links,STGB-303,Sachbeschadigung,FDP,,,,,,,62
63,20.09.2019,Altenburg,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,63
64,21.09.2019,Ulm,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,64
68,24.09.2019,Kyritz,0,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,Die Linke,,,,,,,68
70,28.09.2019,Limbach-Oberfrohna,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,70
71,29.09.2019,Leipzig,0,Rechts,STGB-303,Sachbeschadigung,Die Linke,,,,,,,71
73,01.07.2019,Berlin,0,Nicht zuzuordnen,STGB-185,Beleidigung,Die Linke,,,,,,,73
74,01.07.2019,Schafflund,0,Nicht zuzuordnen,STGB-315B,Gefahrlicher Eingriff in den Strassenverkehr,Sonstige,,,,,,,74
78,01.07.2019,Dresden,1,Rechts,STGB-86A,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,CDU,,,,,,,78
79,02.07.2019,Berlin,0,Nicht zuzuordnen,STGB-185,Beleidigung,CDU,,,,,,,79
83,02.07.2019,Dermbach,2,Links,STGB-188,Verleumdung von Personen des politischen LebensLebens,AfD,,,,,,,83
84,03.07.2019,Kandel,0,Rechts,STGB-303,Sachbeschadigung,CDU,,,,,,,84
85,03.07.2019,Dresden,0,Rechts,STGB-241,Bedrohung,SPD,,,,,,,85
86,04.07.2019,Nurnberg,0,Nicht zuzuordnen,STGB-241,Bedrohung,Sonstige,Grune,Die Linke,,,,,86
89,04.07.2019,Kaltenkirchen,1,Nicht zuzuordnen,STGB-130,Volksverhetzung,AfD,,,,,,,89
90,05.07.2019,Oranienburg,0,Links,STGB-185,Beleidigung,AfD,,,,,,,90
91,05.07.2019,Dresden,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,91
92,05.07.2019,Dresden,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,92
95,07.07.2019,Hannover,0,Rechts,STGB-189,Verunglimpfung des Andenkens Verstorbener,CDU,,,,,,,95
96,08.07.2019,Magdeburg,0,Links,STGB-303,Sachbeschadigung,AfD,,,,,,,96
97,08.07.2019,Heide,1,Links,STGB-185,Beleidigung,AfD,,,,,,,97
99,08.07.2019,Saarbrucken,0,Rechts,STGB-189,Verunglimpfung des Andenkens Verstorbener,CDU,,,,,,,99
101,09.07.2019,Regensburg,0,Links,STGB-223,Korperverletzung,AfD,,,,,,,101
103,10.07.2019,Wesel,1,Rechts,STG B-140,Billigung von Straftaten,CDU,,,,,,,103
104,10.07.2019,Leipzig,0,Rechts,STGB-241,Bedrohung,Die Linke,,,,,,,104
108,10.07.2019,Worbis,0,Nicht zuzuordnen,STGB-188,Verleumdung von Personen des politischen LebensLebens,CDU,,,,,,,108
109,11.07.2019,Zeuthen,0,Nicht zuzuordnen,STGB-303,Sachbeschadigung,CDU,,,,,,,109
110,11.07.2019,Eichwalde,0,Nicht zuzuordnen,STG B-303,Sachbeschadigung,CDU,,,,,,,110
111,12.07.2019,Osnabruck,1,Links,STG B-185,Beleidigung,AfD,,,,,,,111
