,city,date,background,law,suspects,crime,party,state,plz,city_id,insgesamt,cycle_1,cycle_2_x,cycle_3_x,crime_count,Anzahl Bewerber,Prozent Frauen,darunter Frauen,year,Land,city_id_bb,cycle_2_y,cycle_3_y,crime_count_party_lr,crime_count_party,crime_count_lr,crime_count_city,party_lr,p_female,Bewerber_city,Frauen_city,bewerber_hit_by_lr,fem_hit_by_lr,bewerber_party_hit_by_lr,fem_party_hit_by_lr,p_female_lr,p_female_city,p_female_party_lr,p_female_diff,p_female_city_diff,p_female_lr_diff,p_female_party_lr_diff,county,index,pop,female,size,share_fem,density,degree_urban,day
0,Stuttgart,2019-07-25,Links,STGB-303,0.0,Sachbeschadigung,AfD,BW,70173.0,8111000.0,635911.0,2019.0,2019.0,2019.0,1.0,60.0,26.6666666666667,16.0,2019.0,8.0,,2019.0,2019.0,7.0,9.0,11.0,20.0,right,0.26666666666666666,1200.0,434.0,660.0,232.0,420.0,112.0,0.3515151515151515,0.3616666666666667,0.26666666666666666,0.06666666666666665,0.08000000000000002,0.13984848484848483,0.06666666666666665,Stuttgart,2449.0,635911.0,318117.0,207.33,1.9989846503016186,3067.0,3.0,3.0
20,Stuttgart,2019-04-20,Links,223 StGB,0.0,Korperverletzung,AfD,BW,70173.0,8111000.0,635911.0,2014.0,2014.0,2019.0,1.0,60.0,20.0,12.0,2019.0,8.0,,2014.0,2014.0,9.0,13.0,12.0,23.0,right,0.2,1200.0,338.0,600.0,127.0,540.0,108.0,0.21166666666666667,0.2816666666666667,0.2,0.06666666666666665,0.08000000000000002,0.13984848484848483,0.06666666666666665,Stuttgart,2448.0,612441.0,308819.0,207.35,1.983171372227745,2954.0,3.0,5.0
40,Aidlingen,,,,,,AfD,BW,71134.0,8115001.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,57.0,19.0,0.0,0.0,0.0,0.0,,0.3333333333333333,,,0.024242424242424232,,,Böblingen,2487.0,9003.0,4593.0,26.56,1.960156760287394,339.0,2.0,
46,Aidlingen,,,,,,AfD,BW,71134.0,8115001.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,55.0,17.0,0.0,0.0,0.0,0.0,,0.3090909090909091,,,0.024242424242424232,,,Böblingen,2486.0,8811.0,4463.0,26.56,1.974232578982747,332.0,2.0,
52,Altdorf,,,,,,AfD,BW,71155.0,8115002.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Böblingen,2497.0,4662.0,2321.0,17.45,2.00861697544162,267.0,2.0,
58,Altdorf,,,,,,AfD,BW,71155.0,8115002.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,Böblingen,2496.0,4596.0,2309.0,17.47,1.9904720658293633,263.0,2.0,
64,Boblingen,,,,,,AfD,BW,71032.0,8115003.0,,2019.0,,,0.0,3.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,1.0,right,0.0,141.0,63.0,0.0,0.0,0.0,0.0,,0.44680851063829785,,,-0.00034596090641758614,,,Böblingen,2463.0,50161.0,25356.0,39.04,1.978269443129831,1285.0,3.0,
70,Boblingen,2019-05-23,Links,185 StGB,0.0,Beleidigung,AfD,BW,71032.0,8115003.0,50161.0,2014.0,2019.0,2019.0,1.0,0.0,0.0,0.0,2019.0,8.0,,2014.0,2014.0,1.0,1.0,1.0,2.0,right,,123.0,55.0,0.0,0.0,0.0,0.0,,0.44715447154471544,,,-0.00034596090641758614,,,Böblingen,2462.0,47385.0,24240.0,39.04,1.9548267326732673,1214.0,2.0,3.0
76,Bondorf,,,,,,AfD,BW,71149.0,8115004.0,,2019.0,,,0.0,0.0,0.0,0.0,,8.0,,2019.0,2019.0,0.0,0.0,0.0,0.0,right,,32.0,9.0,0.0,0.0,0.0,0.0,,0.28125,,,0.020380434782608703,,,Böblingen,2493.0,6072.0,2993.0,17.54,2.0287337119946542,346.0,2.0,
82,Bondorf,,,,,,AfD,BW,71149.0,8115004.0,,2014.0,,,0.0,0.0,0.0,0.0,,8.0,,2014.0,2014.0,0.0,0.0,0.0,0.0,right,,23.0,6.0,0.0,0.0,0.0,0.0,,0.2608695652173913,,,0.020380434782608703,,,Böblingen,2492.0,5834.0,2906.0,17.55,2.007570543702684,332.0,2.0,
