Satz-art;Text-kenn-zeichen;Land;RB;Kreis;VB;Gem;Gemeindename;plz;Längengrad;Breitengrad;reiseziel;Besiedlungsgrad
10;;01;;;;;Schleswig-Holstein;;;;;
40;41;01;0;01;;;Flensburg;;;;;
50;50;01;0;01;0000;;Flensburg;;;;;
60;61;01;0;01;0000;000;Flensburg;24937;9,43751;54,78252;Ostsee;dicht besiedelt
40;41;01;0;02;;;Kiel;;;;;
50;50;01;0;02;0000;;Kiel;;;;;
60;61;01;0;02;0000;000;Kiel;24103;10,13727;54,321775;Ostsee;dicht besiedelt
40;41;01;0;03;;;Lübeck;;;;;
50;50;01;0;03;0000;;Lübeck;;;;;
60;61;01;0;03;0000;000;Lübeck;23552;10,683932;53,866269;Ostsee;dicht besiedelt
40;41;01;0;04;;;Neumünster;;;;;
50;50;01;0;04;0000;;Neumünster;;;;;
60;61;01;0;04;0000;000;Neumünster;24534;9,988422;54,069895;übrig. Schleswig-Holstein;dicht besiedelt
40;43;01;0;51;;;Dithmarschen;;;;;
50;50;01;0;51;0011;;Brunsbüttel;;;;;
60;63;01;0;51;0011;011;Brunsbüttel;25541;9,13735;53,896932;Nordsee;mittlere Besiedlungsdichte
50;50;01;0;51;0044;;Heide;;;;;
60;63;01;0;51;0044;044;Heide;25746;9,091156;54,193962;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
50;51;01;0;51;5163;;Burg-St. Michaelisdonn;;;;;
60;64;01;0;51;5163;003;Averlak;25715;9,182663;53,941154;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5163;010;Brickeln;25712;9,221166;54,00849;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5163;012;Buchholz;25712;9,223774;53,987132;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5163;016;Burg (Dithmarschen);25712;9,26246;53,99748;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5163;022;Dingen;25715;9,125804;53,960888;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5163;024;Eddelak;25715;9,137433;53,945888;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5163;026;Eggstedt;25721;9,25927;54,054535;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5163;032;Frestedt;25727;9,175759;54,023639;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5163;037;Großenrade;25712;9,223435;54,02206;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5163;051;Hochdonn;25712;9,293145;54,019564;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5163;064;Kuden;25712;9,192822;53,967853;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5163;089;Quickborn;25712;9,206618;54,009984;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5163;097;Sankt Michaelisdonn;25693;9,122148;53,994438;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5163;110;Süderhastedt;25727;9,20886;54,04991;übrig. Schleswig-Holstein;gering besiedelt
50;51;01;0;51;5166;;Marne-Nordsee;;;;;
60;64;01;0;51;5166;021;Diekhusen-Fahrstedt;25709;9,023165;53,946249;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
60;64;01;0;51;5166;034;Friedrichskoog;25718;8,89741;54,013926;Nordsee;gering besiedelt
60;64;01;0;51;5166;046;Helse;25709;9,010226;53,977556;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5166;057;Kaiser-Wilhelm-Koog;25709;8,926364;53,942933;Nordsee;gering besiedelt
60;64;01;0;51;5166;062;Kronprinzenkoog;25709;8,964528;53,97171;Nordsee;gering besiedelt
60;63;01;0;51;5166;072;Marne;25709;9,008761;53,953695;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
60;64;01;0;51;5166;073;Marnerdeich;25709;8,982956;53,948483;übrig. Schleswig-Holstein;mittlere Besiedlungsdichte
60;64;01;0;51;5166;076;Neufeld;25724;9,019046;53,907224;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5166;077;Neufelderkoog;25724;8,968827;53,906958;Nordsee;gering besiedelt
60;64;01;0;51;5166;090;Ramhusen;25715;9,090658;53,941207;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5166;103;Schmedeswurth;25724;9,040335;53,926172;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5166;118;Trennewurth;25693;9,025792;54,000236;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5166;119;Volsemenhusen;25693;9,065625;53,967901;übrig. Schleswig-Holstein;gering besiedelt
50;55;01;0;51;5169;;Eider;;;;;
60;64;01;0;51;5169;005;Barkenholm;25791;9,174339;54,237387;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;008;Bergewöhrden;25779;9,209426;54,318469;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;019;Dellstedt;25786;9,369143;54,237892;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;020;Delve;25788;9,252365;54,303978;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;023;Dörpling;25794;9,301925;54,260654;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;030;Fedderingen;25779;9,132642;54,281144;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;035;Gaushorn;25782;9,225318;54,194896;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;036;Glüsing;25779;9,216421;54,274547;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;038;Groven;25774;8,989147;54,300165;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;047;Hemme;25774;9,010966;54,28021;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;049;Hennstedt;25779;9,168248;54,283636;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;052;Hövede;25782;9,293409;54,243806;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;053;Hollingstedt;25788;9,226797;54,290548;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;058;Karolinenkoog;25774;8,965495;54,292554;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;060;Kleve;25774;9,123229;54,295706;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;061;Krempel;25774;9,027607;54,320019;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;065;Lehe;25782;9,025334;54,344168;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;068;Linden;25791;9,182428;54,252623;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;071;Lunden;25774;9,024249;54,330568;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;080;Norderheistedt;25779;9,146139;54,245331;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;088;Pahlen;25794;9,296387;54,267813;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;092;Rehm-Flehde-Bargen;25776;9,036287;54,303981;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;096;Sankt Annen;25776;9,07975;54,345413;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;100;Schalkholz;25782;9,257028;54,246244;übrig. Schleswig-Holstein;gering besiedelt
60;64;01;0;51;5169;102;Schlichting;25779;9,089378;54,31014;übrig. Schleswig-Holstein;gering besiedelt
