,plz,year,pop,female,density,degree_urban,size,share_fem
0,70173.0,2014,612441.0,308819.0, 2 954,dicht besiedelt,"207,35",0.504242857679352
1,71032.0,2014,47385.0,24240.0, 1 214,mittlere Besiedlungsdichte,"39,04",0.5115542893320671
2,71229.0,2014,46143.0,23341.0,947,mittlere Besiedlungsdichte,"48,74",0.5058405391933771
3,71106.0,2014,9083.0,4461.0,475,mittlere Besiedlungsdichte,"19,13",0.4911372894418144
4,71272.0,2014,16878.0,8463.0,542,mittlere Besiedlungsdichte,"31,14",0.5014219694276573
5,71277.0,2014,10493.0,5319.0,647,mittlere Besiedlungsdichte,"16,22",0.5069093681501954
6,71101.0,2014,9901.0,4952.0,699,mittlere Besiedlungsdichte,"14,16",0.5001514998485002
7,71063.0,2014,62215.0,31535.0, 1 224,dicht besiedelt,"50,85",0.5068713332797556
8,71263.0,2014,18500.0,9346.0,429,mittlere Besiedlungsdichte,"43,14",0.5051891891891892
9,71093.0,2014,9766.0,4919.0,374,mittlere Besiedlungsdichte,"26,12",0.5036862584476756
10,71287.0,2014,7463.0,3768.0,336,mittlere Besiedlungsdichte,"22,19",0.5048907945866273
11,71134.0,2014,8811.0,4463.0,332,mittlere Besiedlungsdichte,"26,56",0.5065259334922256
12,71120.0,2014,6555.0,3243.0,502,mittlere Besiedlungsdichte,"13,05",0.49473684210526314
13,71139.0,2014,8448.0,4276.0,475,mittlere Besiedlungsdichte,"17,8",0.506155303030303
14,71116.0,2014,11754.0,5972.0,582,mittlere Besiedlungsdichte,"20,21",0.5080823549429981
15,75392.0,2014,3269.0,1647.0,287,gering besiedelt,"11,41",0.5038237993270113
16,71083.0,2014,30626.0,15695.0,466,mittlere Besiedlungsdichte,"65,71",0.5124730621040946
17,71154.0,2014,5443.0,2700.0,542,mittlere Besiedlungsdichte,"10,04",0.4960499724416682
18,71155.0,2014,4596.0,2309.0,263,mittlere Besiedlungsdichte,"17,47",0.5023933855526544
19,71157.0,2014,3599.0,1776.0,296,mittlere Besiedlungsdichte,"12,16",0.4934704084467908
20,71088.0,2014,12457.0,6348.0,931,mittlere Besiedlungsdichte,"13,38",0.5095929999197238
21,71149.0,2014,5834.0,2906.0,332,mittlere Besiedlungsdichte,"17,55",0.4981145011998629
22,71126.0,2014,9151.0,4594.0,456,mittlere Besiedlungsdichte,"20,07",0.502021636979565
23,71159.0,2014,3623.0,1853.0,445,gering besiedelt,"8,15",0.5114545956389732
24,71131.0,2014,7575.0,3829.0,359,mittlere Besiedlungsdichte,"21,11",0.5054785478547855
25,71144.0,2014,6190.0,3077.0,637,mittlere Besiedlungsdichte,"9,72",0.49709208400646204
26,71111.0,2014,8521.0,4335.0,375,mittlere Besiedlungsdichte,"22,7",0.5087431052693346
27,73770.0,2014,10588.0,5283.0,811,mittlere Besiedlungsdichte,"13,06",0.4989610880241783
28,73728.0,2014,90378.0,45847.0, 1 947,dicht besiedelt,"46,42",0.5072805328730443
29,73765.0,2014,11583.0,5857.0,929,mittlere Besiedlungsdichte,"12,47",0.5056548389881723
30,73249.0,2014,12200.0,6167.0, 1 119,mittlere Besiedlungsdichte,"10,9",0.5054918032786885
