city_id;city;pop;pop_female;pop_male;year;state
14511;      Chemnitz, Stadt;243089;116856;126233;2009;SN
14612;      Dresden, Stadt;517052;252919;264133;2009;SN
14713;      Leipzig, Stadt;518862;251748;267114;2009;SN
14521010;        Amtsberg;4062;1972;2090;2009;SN
14521020;        Annaberg-Buchholz, Stadt;22079;10555;11524;2009;SN
14521030;        Aue, Stadt;17533;8291;9242;2009;SN
14521035;        Aue-Bad Schlema, Stadt;-;-;-;2009;SN
14521040;        Auerbach;2728;1311;1417;2009;SN
14521050;        Bad Schlema;5195;2549;2646;2009;SN
14521060;        Bärenstein;2572;1264;1308;2009;SN
14521070;        Bernsbach;4452;2189;2263;2009;SN
14521080;        Bockau;2497;1209;1288;2009;SN
14521090;        Börnichen/Erzgeb.;1044;532;512;2009;SN
14521100;        Borstendorf;1408;671;737;2009;SN
14521110;        Breitenbrunn/Erzgeb.;6078;2963;3115;2009;SN
14521120;        Burkhardtsdorf;6499;3217;3282;2009;SN
14521130;        Crottendorf;4336;2109;2227;2009;SN
14521140;        Deutschneudorf;1129;597;532;2009;SN
14521150;        Drebach;3449;1759;1690;2009;SN
14521160;        Ehrenfriedersdorf, Stadt;5094;2446;2648;2009;SN
14521170;        Eibenstock, Stadt;6195;3008;3187;2009;SN
14521180;        Elterlein, Stadt;3098;1554;1544;2009;SN
14521190;        Erlbach-Kirchberg;1723;872;851;2009;SN
14521200;        Gelenau/Erzgeb.;4500;2205;2295;2009;SN
14521210;        Geyer, Stadt;3887;1904;1983;2009;SN
14521220;        Gornau/Erzgeb.;3942;1961;1981;2009;SN
14521230;        Gornsdorf;2158;1078;1080;2009;SN
14521240;        Großolbersdorf;3052;1531;1521;2009;SN
14521250;        Großrückerswalde;3754;1877;1877;2009;SN
14521260;        Grünhain-Beierfeld, Stadt;6354;3161;3193;2009;SN
14521270;        Grünhainichen;2374;1169;1205;2009;SN
14521280;        Heidersdorf;888;460;428;2009;SN
14521290;        Hohndorf;3868;1913;1955;2009;SN
14521300;        Hormersdorf;1579;773;806;2009;SN
14521310;        Jahnsdorf/Erzgeb.;5804;2909;2895;2009;SN
14521320;        Johanngeorgenstadt, Stadt;4779;2287;2492;2009;SN
14521330;        Jöhstadt, Stadt;3041;1533;1508;2009;SN
14521340;        Königswalde;2342;1156;1186;2009;SN
14521350;        Lauter/Sa., Stadt;4803;2337;2466;2009;SN
14521355;        Lauter-Bernsbach, Stadt;-;-;-;2009;SN
14521360;        Lengefeld, Stadt;4501;2204;2297;2009;SN
14521370;        Lößnitz, Stadt;9619;4645;4974;2009;SN
14521380;        Lugau/Erzgeb., Stadt;7187;3498;3689;2009;SN
14521390;        Marienberg, Stadt;13367;6630;6737;2009;SN
14521400;        Mildenau;3641;1818;1823;2009;SN
14521410;        Neukirchen/Erzgeb.;7055;3490;3565;2009;SN
14521420;        Niederdorf;1315;656;659;2009;SN
14521430;        Niederwürschnitz;2857;1418;1439;2009;SN
14521440;        Oberwiesenthal, Kurort, Stadt;2501;1219;1282;2009;SN
14521450;        Oelsnitz/Erzgeb., Stadt;12083;5872;6211;2009;SN
14521460;        Olbernhau, Stadt;10100;4946;5154;2009;SN
14521470;        Pfaffroda;2862;1430;1432;2009;SN
14521480;        Pobershau;2048;1027;1021;2009;SN
14521490;        Pockau;3995;1964;2031;2009;SN
14521495;        Pockau-Lengefeld, Stadt;-;-;-;2009;SN
14521500;        Raschau-Markersbach;5634;2774;2860;2009;SN
14521510;        Scheibenberg, Stadt;2256;1125;1131;2009;SN
14521520;        Schlettau, Stadt;2598;1246;1352;2009;SN
14521530;        Schneeberg, Stadt;15552;7503;8049;2009;SN
14521540;        Schönheide;5047;2485;2562;2009;SN
14521550;        Schwarzenberg/Erzgeb., Stadt;18687;8979;9708;2009;SN
14521560;        Sehmatal;7082;3517;3565;2009;SN
14521570;        Seiffen/Erzgeb., Kurort;2457;1254;1203;2009;SN
14521580;        Sosa;2069;1061;1008;2009;SN
14521590;        Stollberg/Erzgeb., Stadt;11891;5737;6154;2009;SN
14521600;        Stützengrün;3640;1800;1840;2009;SN
14521610;        Tannenberg;1208;611;597;2009;SN
14521620;        Thalheim/Erzgeb., Stadt;6978;3427;3551;2009;SN
14521630;        Thermalbad Wiesenbad;3587;1784;1803;2009;SN
14521640;        Thum, Stadt;5571;2736;2835;2009;SN
14521650;        Venusberg;2303;1156;1147;2009;SN
14521660;        Waldkirchen/Erzgeb.;-;-;-;2009;SN
14521670;        Wolkenstein, Stadt;4134;1995;2139;2009;SN
14521680;        Zöblitz, Stadt;2876;1448;1428;2009;SN
14521690;        Zschopau, Stadt, Motorradstadt;10474;5117;5357;2009;SN
14521700;        Zschorlau;5641;2762;2879;2009;SN
14521710;        Zwönitz, Stadt;11278;5545;5733;2009;SN
14522010;        Altmittweida;2045;1016;1029;2009;SN
14522020;        Augustusburg, Stadt;4983;2467;2516;2009;SN
14522030;        Bobritzsch;4521;2251;2270;2009;SN
14522035;        Bobritzsch-Hilbersdorf;-;-;-;2009;SN
14522040;        Bockelwitz;2682;1359;1323;2009;SN
14522050;        Brand-Erbisdorf, Stadt;10711;5197;5514;2009;SN
14522060;        Burgstädt, Stadt;11634;5544;6090;2009;SN
14522070;        Claußnitz;3359;1652;1707;2009;SN
14522080;        Döbeln, Stadt;20337;9792;10545;2009;SN
14522090;        Dorfchemnitz;1707;863;844;2009;SN
14522100;        Ebersbach;1058;533;525;2009;SN
14522110;        Eppendorf;4599;2228;2371;2009;SN
14522120;        Erlau;3456;1758;1698;2009;SN
14522130;        Falkenau;1957;972;985;2009;SN
14522140;        Flöha, Stadt;9974;4763;5211;2009;SN
14522150;        Frankenberg/Sa., Stadt, Garnisonsstadt;15878;7847;8031;2009;SN
14522160;        Frankenstein;1162;585;577;2009;SN
14522170;        Frauenstein, Stadt;3113;1558;1555;2009;SN
14522180;        Freiberg, Stadt, Universitätsstadt;41701;20532;21169;2009;SN
14522190;        Geringswalde, Stadt;4707;2319;2388;2009;SN
14522200;        Großhartmannsdorf;2670;1374;1296;2009;SN
14522210;        Großschirma, Stadt;5982;3017;2965;2009;SN
14522220;        Großweitzschen;3090;1541;1549;2009;SN
14522230;        Hainichen, Stadt;8972;4401;4571;2009;SN
14522240;        Halsbrücke;5432;2730;2702;2009;SN
14522250;        Hartha, Stadt;7924;3839;4085;2009;SN
14522260;        Hartmannsdorf;4563;2205;2358;2009;SN
14522270;        Hilbersdorf;1427;707;720;2009;SN
14522280;        Königsfeld;1640;841;799;2009;SN
14522290;        Königshain-Wiederau;2885;1450;1435;2009;SN
14522300;        Kriebstein;2433;1199;1234;2009;SN
14522310;        Leisnig, Stadt;6522;3159;3363;2009;SN
14522320;        Leubsdorf;3779;1907;1872;2009;SN
14522330;        Lichtenau;7712;3827;3885;2009;SN
14522340;        Lichtenberg/Erzgeb.;2929;1508;1421;2009;SN
14522350;        Lunzenau, Stadt;4868;2363;2505;2009;SN
14522360;        Mittweida, Stadt, Hochschulstadt;15726;7613;8113;2009;SN
14522370;        Mochau;2585;1320;1265;2009;SN
14522380;        Mühlau;2259;1129;1130;2009;SN
14522390;        Mulda/Sa.;2771;1412;1359;2009;SN
14522400;        Neuhausen/Erzgeb.;3054;1522;1532;2009;SN
14522410;        Niederstriegis;1255;642;613;2009;SN
14522420;        Niederwiesa;5076;2513;2563;2009;SN
14522430;        Oberschöna;3604;1867;1737;2009;SN
14522440;        Oederan, Stadt;7632;3693;3939;2009;SN
14522450;        Ostrau;4097;2114;1983;2009;SN
14522460;        Penig, Stadt;9798;4755;5043;2009;SN
14522470;        Rechenberg-Bienenmühle;2175;1081;1094;2009;SN
14522480;        Reinsberg;3138;1595;1543;2009;SN
14522490;        Rochlitz, Stadt;6361;3006;3355;2009;SN
14522500;        Rossau;3754;1893;1861;2009;SN
14522510;        Roßwein, Stadt;7022;3366;3656;2009;SN
14522520;        Sayda, Stadt;2068;1020;1048;2009;SN
14522530;        Seelitz;1943;980;963;2009;SN
14522540;        Striegistal;5359;2737;2622;2009;SN
14522550;        Taura;2528;1250;1278;2009;SN
14522570;        Waldheim, Stadt;8496;4273;4223;2009;SN
14522580;        Wechselburg;2076;1044;1032;2009;SN
14522590;        Weißenborn/Erzgeb.;2652;1341;1311;2009;SN
14522600;        Zettlitz;810;400;410;2009;SN
14522610;        Ziegra-Knobelsdorf;2202;1133;1069;2009;SN
14522620;        Zschaitz-Ottewig;1383;697;686;2009;SN
14523010;        Adorf/Vogtl., Stadt;5411;2603;2808;2009;SN
14523020;        Auerbach/Vogtl., Stadt;20220;9653;10567;2009;SN
14523030;        Bad Brambach;2089;986;1103;2009;SN
14523040;        Bad Elster, Stadt;3843;1832;2011;2009;SN
14523050;        Bergen;1053;505;548;2009;SN
14523060;        Bösenbrunn;1322;632;690;2009;SN
14523070;        Burgstein;1954;999;955;2009;SN
14523080;        Eichigt;1321;677;644;2009;SN
14523090;        Ellefeld;2854;1358;1496;2009;SN
14523100;        Elsterberg, Stadt;4726;2293;2433;2009;SN
14523110;        Erlbach;1827;908;919;2009;SN
14523120;        Falkenstein/Vogtl., Stadt;8821;4149;4672;2009;SN
14523130;        Grünbach;1854;887;967;2009;SN
14523140;        Hammerbrücke;-;-;-;2009;SN
14523150;        Heinsdorfergrund;2237;1095;1142;2009;SN
14523160;        Klingenthal, Stadt;8432;4031;4401;2009;SN
14523170;        Lengenfeld, Stadt;7667;3782;3885;2009;SN
14523180;        Leubnitz;1414;720;694;2009;SN
14523190;        Limbach;1546;740;806;2009;SN
14523200;        Markneukirchen, Stadt;6633;3257;3376;2009;SN
14523210;        Mehltheuer;1478;754;724;2009;SN
14523220;        Morgenröthe-Rautenkranz;-;-;-;2009;SN
14523230;        Mühlental;1588;806;782;2009;SN
14523240;        Mühltroff, Stadt;1775;874;901;2009;SN
14523245;        Muldenhammer;3542;1771;1771;2009;SN
14523250;        Mylau, Stadt;2858;1432;1426;2009;SN
14523260;        Netzschkau, Stadt;4157;1996;2161;2009;SN
14523270;        Neuensalz;2360;1170;1190;2009;SN
14523280;        Neumark;3159;1540;1619;2009;SN
14523290;        Neustadt/Vogtl.;1094;542;552;2009;SN
14523300;        Oelsnitz/Vogtl., Stadt;11524;5600;5924;2009;SN
14523310;        Pausa-Mühltroff, Stadt;3676;1788;1888;2009;SN
14523320;        Plauen, Stadt;66412;31960;34452;2009;SN
14523330;        Pöhl;2740;1350;1390;2009;SN
