,crime,city,law,date,background,suspects,party,state,plz,city_id,bl_kuerzel,year,month,day,cycle_1,cycle_2,cycle_3,crime_count,Anzahl Bewerber,darunter Frauen,Land,crime_count_party_lr,crime_count_party,crime_count_lr,crime_count_city,party_lr,Bewerber_city,Frauen_city,bewerber_hit_by_lr,fem_hit_by_lr,bewerber_party_hit_by_lr,fem_party_hit_by_lr,p_female,p_female_lr,p_female_city,p_female_party_lr,p_female_diff,p_female_city_diff,p_female_lr_diff,p_female_party_lr_diff
0,Sachbeschadigung,Stuttgart,STGB-303,2019-07-25,Links,0.0,AfD,BW,70173.0,8111000.0,BW,2019,07,25,2019.0,2019.0,2019.0,1.0,60.0,16.0,8.0,6.0,8.0,10.0,16.0,right,1020.0,375.0,600.0,216.0,360.0,96.0,0.26666666666666666,0.36,0.36764705882352944,0.26666666666666666,0.06666666666666665,-0.01092436974789912,0.15999999999999998,0.06666666666666665
1,Verleumdung ohne Verleumdung ohne sexuelle Grundlage,Stuttgart,STGB-187,2019-07-25,Links,0.0,AfD,BW,70173.0,8111000.0,BW,2019,07,25,2019.0,2019.0,2019.0,1.0,60.0,16.0,8.0,6.0,8.0,10.0,16.0,right,1020.0,375.0,600.0,216.0,360.0,96.0,0.26666666666666666,0.36,0.36764705882352944,0.26666666666666666,0.06666666666666665,-0.01092436974789912,0.15999999999999998,0.06666666666666665
2,Volksverhetzung,Stuttgart,STGB-130,2019-08-12,Rechts,1.0,AfD,BW,70173.0,8111000.0,BW,2019,08,12,2019.0,2019.0,2019.0,1.0,60.0,16.0,8.0,2.0,8.0,6.0,16.0,right,1020.0,375.0,240.0,82.0,120.0,32.0,0.26666666666666666,0.3416666666666667,0.36764705882352944,0.26666666666666666,0.06666666666666665,-0.01092436974789912,,0.06666666666666665
3,Sachbeschadigung,Stuttgart,STGB-303,2019-08-26,Links,0.0,AfD,BW,70173.0,8111000.0,BW,2019,08,26,2019.0,2019.0,2019.0,1.0,60.0,16.0,8.0,6.0,8.0,10.0,16.0,right,1020.0,375.0,600.0,216.0,360.0,96.0,0.26666666666666666,0.36,0.36764705882352944,0.26666666666666666,0.06666666666666665,-0.01092436974789912,0.15999999999999998,0.06666666666666665
4,Sachbeschadigung,Stuttgart,STGB-303,2019-07-25,Links,0.0,AfD,BW,70173.0,8111000.0,BW,2019,07,25,2019.0,2019.0,2019.0,1.0,60.0,16.0,8.0,6.0,8.0,10.0,16.0,right,1020.0,375.0,600.0,216.0,360.0,96.0,0.26666666666666666,0.36,0.36764705882352944,0.26666666666666666,0.06666666666666665,-0.01092436974789912,0.15999999999999998,0.06666666666666665
5,Verleumdung ohne sexuelle Grundlage,Stuttgart,STGB-187,2019-07-25,Links,0.0,AfD,BW,70173.0,8111000.0,BW,2019,07,25,2019.0,2019.0,2019.0,1.0,60.0,16.0,8.0,6.0,8.0,10.0,16.0,right,1020.0,375.0,600.0,216.0,360.0,96.0,0.26666666666666666,0.36,0.36764705882352944,0.26666666666666666,0.06666666666666665,-0.01092436974789912,0.15999999999999998,0.06666666666666665
6,Volksverhetzung,Stuttgart,STGB-130,2019-08-12,Rechts,1.0,AfD,BW,70173.0,8111000.0,BW,2019,08,12,2019.0,2019.0,2019.0,1.0,60.0,16.0,8.0,2.0,8.0,6.0,16.0,right,1020.0,375.0,240.0,82.0,120.0,32.0,0.26666666666666666,0.3416666666666667,0.36764705882352944,0.26666666666666666,0.06666666666666665,-0.01092436974789912,,0.06666666666666665
7,Sachbeschadigung,Stuttgart,STGB-303,2019-08-26,Links,0.0,AfD,BW,70173.0,8111000.0,BW,2019,08,26,2019.0,2019.0,2019.0,1.0,60.0,16.0,8.0,6.0,8.0,10.0,16.0,right,1020.0,375.0,600.0,216.0,360.0,96.0,0.26666666666666666,0.36,0.36764705882352944,0.26666666666666666,0.06666666666666665,-0.01092436974789912,0.15999999999999998,0.06666666666666665
8,Verleumdung ohne sexuelle Grundlage,Stuttgart,STGB-187,2019-09-13,Rechts,0.0,CDU,BW,70173.0,8111000.0,BW,2019,09,13,2019.0,2019.0,2019.0,1.0,60.0,25.0,8.0,2.0,2.0,6.0,16.0,right,1020.0,375.0,240.0,82.0,120.0,50.0,0.4166666666666667,0.3416666666666667,0.36764705882352944,0.4166666666666667,-0.04999999999999999,-0.01092436974789912,,
9,Verleumdung ohne sexuelle Grundlage,Stuttgart,STGB-187,2019-09-13,Rechts,0.0,CDU,BW,70173.0,8111000.0,BW,2019,09,13,2019.0,2019.0,2019.0,1.0,60.0,25.0,8.0,2.0,2.0,6.0,16.0,right,1020.0,375.0,240.0,82.0,120.0,50.0,0.4166666666666667,0.3416666666666667,0.36764705882352944,0.4166666666666667,-0.04999999999999999,-0.01092436974789912,,
