city,crime,law,date,background,suspects,party,Land,plz,city_id,bl_kuerzel
Aachen,91,91,91,91,91,6,91,91,91,0
Aalen,0,0,0,0,0,0,1,1,1,1
Aarbergen,0,0,0,0,0,0,1,1,1,0
Aasbuttel,0,0,0,0,0,0,1,1,1,0
Abenberg,28,28,28,28,28,4,28,28,28,28
Abenberger Wald,0,0,0,0,0,0,1,0,1,1
Abensberg,21,21,21,21,21,0,21,21,21,21
Abentheuer,0,0,0,0,0,0,1,1,1,1
Absberg,0,0,0,0,0,0,1,1,1,1
Abstatt,0,0,0,0,0,0,1,1,1,1
Abtsbessingen,0,0,0,0,0,0,1,1,1,1
Abtsgmund,14,14,14,14,14,3,14,14,14,14
Abtsteinach,0,0,0,0,0,0,1,1,1,0
Abtswind,0,0,0,0,0,0,1,1,1,1
Abtweiler,0,0,0,0,0,0,1,1,1,1
Achberg,0,0,0,0,0,0,1,1,1,1
Achern,35,35,35,35,35,5,35,35,35,35
Achim,21,21,21,21,21,1,21,21,21,0
Achslach,0,0,0,0,0,0,1,1,1,1
Achstetten,0,0,0,0,0,0,1,1,1,1
Acht,0,0,0,0,0,0,1,1,1,1
Achtelsbach,0,0,0,0,0,0,1,1,1,1
Achterwehr,0,0,0,0,0,0,1,1,1,0
Achtrup,0,0,0,0,0,0,1,1,1,0
Adelberg,0,0,0,0,0,0,1,1,1,1
Adelebsen,0,0,0,0,0,0,1,1,1,0
Adelheidsdorf,0,0,0,0,0,0,1,1,1,0
Adelmannsfelden,0,0,0,0,0,0,1,1,1,1
Adelschlag,0,0,0,0,0,0,1,1,1,1
Adelsdorf,0,0,0,0,0,0,1,1,1,1
Adelsheim,7,7,7,7,7,1,7,7,7,7
Adelsried,0,0,0,0,0,0,1,1,1,1
Adelzhausen,0,0,0,0,0,0,1,1,1,1
Adenau,0,0,0,0,0,0,1,1,1,1
Adenbach,0,0,0,0,0,0,1,1,1,1
Adenbuttel,0,0,0,0,0,0,1,1,1,0
Adendorf,0,0,0,0,0,0,1,1,1,0
Adlkofen,0,0,0,0,0,0,1,1,1,1
Admannshagen-Bargeshagen,0,0,0,0,0,0,1,1,1,1
Adorf/Vogtl.,0,0,0,0,0,0,1,1,1,1
Aebtissinwisch,0,0,0,0,0,0,1,1,1,0
Aerzen,0,0,0,0,0,0,1,1,1,0
Affalterbach,0,0,0,0,0,0,1,1,1,1
Affing,0,0,0,0,0,0,1,1,1,1
Affinghausen,0,0,0,0,0,0,1,1,1,0
Affler,0,0,0,0,0,0,1,1,1,1
Agathenburg,0,0,0,0,0,0,1,1,1,0
Agethorst,0,0,0,0,0,0,1,1,1,0
Aglasterhausen,0,0,0,0,0,0,1,1,1,1
Aham,0,0,0,0,0,0,1,1,1,1
Ahaus,14,14,14,14,14,2,14,14,14,0
Ahausen,0,0,0,0,0,0,1,1,1,0
Ahlbeck,0,0,0,0,0,0,1,1,1,1
Ahlden (Aller),0,0,0,0,0,0,1,1,1,0
Ahlefeld-Bistensee,0,0,0,0,0,0,1,1,1,0
Ahlen,0,0,0,0,0,0,1,1,1,0
Ahlerstedt,14,14,14,14,14,1,14,14,14,0
Ahlsdorf,0,0,0,0,0,0,1,1,1,1
Ahlstadt,0,0,0,0,0,0,1,1,1,1
Ahnatal,0,0,0,0,0,0,1,1,1,0
Ahneby,0,0,0,0,0,0,1,1,1,0
Ahnsbeck,0,0,0,0,0,0,1,1,1,0
Ahnsen,0,0,0,0,0,0,1,1,1,0
Aholfing,0,0,0,0,0,0,1,1,1,1
Aholming,0,0,0,0,0,0,1,1,1,1
Ahorntal,0,0,0,0,0,0,1,1,1,1
Ahrbruck,0,0,0,0,0,0,1,1,1,1
Ahrensbok,0,0,0,0,0,0,1,1,1,0
Ahrensburg,28,28,28,28,28,2,28,28,28,0
Ahrensfelde,119,119,119,119,119,22,119,119,119,119
Ahrenshagen-Daskow,0,0,0,0,0,0,1,1,1,1
Ahrenshoft,0,0,0,0,0,0,1,1,1,0
Ahrenshoop,0,0,0,0,0,0,1,1,1,1
Ahrenviol,0,0,0,0,0,0,1,1,1,0
Ahrenviolfeld,0,0,0,0,0,0,1,1,1,0
Aicha vorm Wald,0,0,0,0,0,0,1,1,1,1
Aichach,7,7,7,7,7,0,7,7,7,7
Aichelberg,0,0,0,0,0,0,1,1,1,1
Aichen,0,0,0,0,0,0,1,1,1,1
Aichhalden,0,0,0,0,0,0,1,1,1,1
Aichstetten,0,0,0,0,0,0,1,1,1,1
Aichtal,7,7,7,7,7,1,7,7,7,7
Aichwald,0,0,0,0,0,0,1,1,1,1
Aidenbach,0,0,0,0,0,0,1,1,1,1
Aidhausen,0,0,0,0,0,0,1,1,1,1
Aidlingen,0,0,0,0,0,0,1,1,1,1
Aiglsbach,0,0,0,0,0,0,1,1,1,1
Ailertchen,0,0,0,0,0,0,1,1,1,1
Aindling,0,0,0,0,0,0,1,1,1,1
Ainring,0,0,0,0,0,0,1,1,1,1
Aislingen,0,0,0,0,0,0,1,1,1,1
Aiterhofen,0,0,0,0,0,0,1,1,1,1
Aitern,0,0,0,0,0,0,1,1,1,1
Aitrach,0,0,0,0,0,0,1,1,1,1
Aitrang,0,0,0,0,0,0,1,1,1,1
Aken (Elbe),0,0,0,0,0,0,1,1,1,1
Aland,0,0,0,0,0,0,1,1,1,1
Albaching,0,0,0,0,0,0,1,1,1,1
Albbruck,0,0,0,0,0,0,1,1,1,1
Albershausen,7,7,7,7,7,1,7,7,7,7
Albersweiler,0,0,0,0,0,0,1,1,1,1
Albertshofen,0,0,0,0,0,0,1,1,1,1
Albessen,0,0,0,0,0,0,1,1,1,1
Albig,0,0,0,0,0,0,1,1,1,1
Albisheim (Pfrimm),0,0,0,0,0,0,1,1,1,1
Albsfelde,0,0,0,0,0,0,1,1,1,0
Albstadt,14,14,14,14,14,2,14,14,14,14
Aldenhoven,0,0,0,0,0,0,1,1,1,0
Aldersbach,0,0,0,0,0,0,1,1,1,1
Aldingen,0,0,0,0,0,0,1,1,1,1
Alerheim,0,0,0,0,0,0,1,1,1,1
Alesheim,0,0,0,0,0,0,1,1,1,1
Aletshausen,0,0,0,0,0,0,1,1,1,1
Alf,0,0,0,0,0,0,1,1,1,1
Alfdorf,0,0,0,0,0,0,1,1,1,1
Alfeld,0,0,0,0,0,0,1,1,1,1
Alfeld (Leine),0,0,0,0,0,0,1,1,1,0
Alfhausen,0,0,0,0,0,0,1,1,1,0
Alflen,0,0,0,0,0,0,1,1,1,1
Alfstedt,0,0,0,0,0,0,1,1,1,0
Alfter,0,0,0,0,0,0,1,1,1,0
Algermissen,0,0,0,0,0,0,1,1,1,0
Alheim,0,0,0,0,0,0,1,1,1,0
Alken,0,0,0,0,0,0,1,1,1,1
Alkersleben,7,7,7,7,7,0,7,7,7,7
Alkersum,0,0,0,0,0,0,1,1,1,0
Allenbach,0,0,0,0,0,0,1,1,1,1
Allendorf (Eder),0,0,0,0,0,0,1,1,1,0
Allendorf (Lumda),0,0,0,0,0,0,1,1,1,0
Allenfeld,0,0,0,0,0,0,1,1,1,1
Allensbach,0,0,0,0,0,0,1,1,1,1
Allersberg,21,21,21,21,21,2,21,21,21,21
Allershausen,0,0,0,0,0,0,1,1,1,1
Alleshausen,0,0,0,0,0,0,1,1,1,1
Alling,0,0,0,0,0,0,1,1,1,1
Allmannshofen,0,0,0,0,0,0,1,1,1,1
Allmannsweiler,0,0,0,0,0,0,1,1,1,1
Allmendingen,0,0,0,0,0,0,1,1,1,1
Allmersbach im Tal,0,0,0,0,0,0,1,1,1,1
Allstedt,7,7,7,7,7,2,7,7,7,7
Almdorf,0,0,0,0,0,0,1,1,1,0
Almersbach,0,0,0,0,0,0,1,1,1,1
Alpen,0,0,0,0,0,0,1,1,1,0
Alpenrod,0,0,0,0,0,0,1,1,1,1
Alperstedt,0,0,0,0,0,0,1,1,1,1
Alpirsbach,7,7,7,7,7,1,7,7,7,7
Alsbach,0,0,0,0,0,0,1,1,1,1
Alsbach-Hahnlein,0,0,0,0,0,0,1,1,1,0
Alsenz,0,0,0,0,0,0,1,1,1,1
Alsfeld,7,7,7,7,7,0,7,7,7,0
Alsheim,0,0,0,0,0,0,1,1,1,1
Alsleben (Saale),0,0,0,0,0,0,1,1,1,1
Alt Bennebek,0,0,0,0,0,0,1,1,1,0
Alt Bukow,0,0,0,0,0,0,1,1,1,1
Alt Duvenstedt,0,0,0,0,0,0,1,1,1,0
Alt Krenzlin,0,0,0,0,0,0,1,1,1,1
Alt Meteln,0,0,0,0,0,0,1,1,1,1
Alt Schwerin,0,0,0,0,0,0,1,1,1,1
Alt Suhrkow,0,0,0,0,0,0,1,1,1,1
Alt Tellin,0,0,0,0,0,0,1,1,1,1
Alt Tucheband,0,0,0,0,0,0,1,1,1,1
Alt Zachun,0,0,0,0,0,0,1,1,1,1
Alt Zauche-Wusswerk/Stara Niwa-Wózwjerch,0,0,0,0,0,0,1,1,1,1
Alt-Molln,0,0,0,0,0,0,1,1,1,0
Altbach,0,0,0,0,0,0,1,1,1,1
Altdobern,0,0,0,0,0,0,1,1,1,1
Altdorf b.Nurnberg,0,0,0,0,0,0,1,1,1,1
Altefahr,0,0,0,0,0,0,1,1,1,1
Alteglofsheim,0,0,0,0,0,0,1,1,1,1
Altena,0,0,0,0,0,0,1,1,1,0
Altenahr,0,0,0,0,0,0,1,1,1,1
Altenbamberg,0,0,0,0,0,0,1,1,1,1
Altenbeken,0,0,0,0,0,0,1,1,1,0
Altenberg,28,28,28,28,28,4,28,28,28,28
Altenberga,0,0,0,0,0,0,1,1,1,1
Altenberge,0,0,0,0,0,0,1,1,1,0
Altenbeuthen,0,0,0,0,0,0,1,1,1,1
Altenbuch,0,0,0,0,0,0,1,1,1,1
Altenburg,161,161,161,161,161,25,161,161,161,161
Altendiez,0,0,0,0,0,0,1,1,1,1
Altenglan,0,0,0,0,0,0,1,1,1,1
Altenhagen,0,0,0,0,0,0,1,1,1,1
Altenhausen,0,0,0,0,0,0,1,1,1,1
Altenholz,0,0,0,0,0,0,1,1,1,0
Altenkirchen (Westerwald),0,0,0,0,0,0,1,1,1,1
Altenkrempe,0,0,0,0,0,0,1,1,1,0
Altenkunstadt,0,0,0,0,0,0,1,1,1,1
Altenmarkt a.d.Alz,0,0,0,0,0,0,1,1,1,1
Altenmedingen,0,0,0,0,0,0,1,1,1,0
Altenmoor,0,0,0,0,0,0,1,1,1,0
Altenmunster,0,0,0,0,0,0,1,1,1,1
Altenpleen,0,0,0,0,0,0,1,1,1,1
Altenriet,0,0,0,0,0,0,1,1,1,1
