,vorname,geschlecht
0,Aaleyah,w
1,Aaliyah,w
2,Aanya,w
3,Aaron,m
4,Aarovi,w
5,Aashvi,w
6,Abaan,m
7,Abbas,m
8,Abbass,m
9,Abdelhakim,w
10,Abdelsattar,m
11,Abdourahmane,m
12,Abdul-Mohaimen,m
13,Abdulhakem,w
14,Abdulkarem,m
15,Abdulrahman,m
16,Abdulwahed,m
17,Abena,w
18,Abigail,w
19,Abit,m
20,Abramo,m
21,Ada,m
22,Ada,w
23,Adam,m
24,Aday,m
25,Adeem,m
26,Adeen,m
27,Adela,w
28,Adele,w
29,Adelina,w
30,Adem,m
31,Aden,w
32,Adheera,w
33,Adin,m
34,Adina,w
35,Adithiyan,m
36,Adiwilaga,m
37,Admir,m
38,Admira,w
39,Adna,w
40,Adnan,w
41,Adrian,m
42,Adriana,w
43,Adrianna,w
44,Adriano,m
45,Adrijan,m
46,Aeneas,m
47,Aenna,w
48,Agathe,w
49,Aglaia,w
50,Agnes,w
51,Agyapomaa,w
52,Ahana,w
53,Ahmad,m
54,Ahmed,m
55,Ai,w
56,Aicha,w
57,Aida,w
58,Aidan,m
59,Aiden,m
60,Aikaterini,w
61,Aila,w
62,Aili,w
63,Ailin,w
64,Aimé,m
65,Aimée,w
66,Aino,w
67,Aiven,m
68,Ajan,m
69,Ajna,w
70,Ajnur,m
71,Akande,m
72,Akari,w
73,Akif,m
74,Akin,m
75,Aksel,m
76,Akuchonga,m
77,Akusinachi,m
78,Akın,m
79,Al-Nur,w
80,Al-Qutbia,w
81,Alaara,w
82,Aladin,m
83,Alan,m
84,Alan-Siyah,w
85,Alana,w
86,Alara,w
87,Alasdair,m
88,Alaya,w
89,Alaz,m
90,Alba,w
91,Alban,m
92,Albert,m
93,Albertine,w
94,Albrecht,m
95,Alea,w
96,Aleeke,m
97,Aleen,w
98,Aleja,w
99,Alejandro,m
100,Alejándro,m
101,Aleksandar,m
102,Aleksander,m
103,Aleksandr,m
104,Aleksandrovna,w
105,Alekseevna,w
106,Aleksy,m
107,Alen,m
108,Alena,w
109,Alencia,w
110,Alenia,w
111,Alenya,w
112,Alesja,w
113,Alessandra,w
114,Alessia,w
115,Alessio,m
116,Aletheia,w
117,Alex,m
118,Alexander,m
119,Alexandra,w
120,Alexandre,m
121,Alexandros,m
122,Alexandrovič,m
123,Alexey,m
124,Alexeyevna,w
125,Alexios,m
126,Alexis,m
127,Alexis,w
128,Aleya,w
129,Aleyna,w
