Lfd. Nr.;Tatzeit;Tatort;TV1;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
1;01.01.2020;Hamburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
2;01.01.2020;Borna;0;Links;§ 303 StGB;Sachbeschädigung;AfD
3;02.01.2020;Rathenow;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
4;02.01.2020;Bremen;1;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
5;03.01.2020;Altenkirchen;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
6;03.01.2020;Erfurt;0;Links;§ 185 StGB;Beleidigung;AfD
7;04.01.2020;Borna;0;Links;§ 303 StGB;Sachbeschädigung;AfD
8;06.01.2020;Schwerin;0;Links;§ 303 StGB;Sachbeschädigung;AfD
9;06.01.2020;Oberhausen;0;Links;§ 241 StGB;Bedrohung;CDU
10;06.01.2020;Köln;0;Links;§ 303 StGB;Sachbeschädigung;AfD
11;07.01.2020;Bad Oldesloe;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
12;07.01.2020;Zwickau;0;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
13;10.01.2020;Saalfeld;0;Links;§ 303 StGB;Sachbeschädigung;AfD
14;11.01.2020;Bergisch Gladbach;0;Links;§ 303 StGB;Sachbeschädigung;AfD
15;11.01.2020;Hoyerswerda;0;Links;§ 303 StGB;Sachbeschädigung;AfD
16;13.01.2020;Pößneck;0;Rechts;§ 126 StGB;Störung des öffentlichen Friedens durch Androhung von Straftaten;Die Linke
17;14.01.2020;Heilbronn;0;Links;§ 303 StGB;Sachbeschädigung;AfD
18;14.01.2020;Bayreuth;0;Links;§ 303 StGB;Sachbeschädigung;AfD
19;14.01.2020;Wismar;0;Links;§ 303 StGB;Sachbeschädigung;AfD
20;15.01.2020;Halle;0;Rechts;§ 303 StGB;Sachbeschädigung;SPD
21;16.01.2020;Tübingen;0;Links;§ 303 StGB;Sachbeschädigung;Bündnis 90/Die Grünen
22;16.01.2020;München;0;Rechts;§ 86a StGB;Volksverhetzung;CSU
23;16.01.2020;Sondershausen;0;Links;§ 303 StGB;Sachbeschädigung;AfD
24;17.01.2020;Hannover;0;Links;§ 303 StGB;Sachbeschädigung;AfD
25;17.01.2020;Mainz;0;Links;§ 303 StGB;Sachbeschädigung;CDU
26;17.01.2020;Pößneck;1;Rechts;§ 303 StGB;Sachbeschädigung;Die Linke
27;19.01.2020;Hamburg;0;Rechts;§ 86a StGB;Volksverhetzung;SPD
28;20.01.2020;Bremen;0;Rechts;§ 86a StGB;Volksverhetzung;Die Linke
29;21.01.2020;Worms;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;AfD
30;21.01.2020;Borna;0;Links;§ 303 StGB;Sachbeschädigung;AfD
31;22.01.2020;Berlin;0;Rechts;§ 86a StGB;Volksverhetzung;Bündnis 90/Die Grünen
32;22.01.2020;Dorsten;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
33;24.01.2020;Berlin;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
34;24.01.2020;München;0;Links;§ 303 StGB;Sachbeschädigung;SPD
