Lfd. Nr.;Tatzeit;Tatort;TV;Phänomenbereich;Zähldelikt;Bezeichnung;Betroffene Partei
1;29.07.2020;Panketal;0;Links;STGB-303;Sachbeschädigung;SPD
2;06.09.2020;Leutershausen;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen
3;20.07.2020;Hamburg;1;Links;STGB-303;Sachbeschädigung;AfD
4;16.08.2020;Hamburg;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Sonstige Partei
5;11.08.2020;Wittenburg;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
6;16.08.2020;Wittenburg;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
7;19.08.2020;Wittenburg;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
8;22.08.2020;Dummerstorf;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen, CDU
9;30.08.2020;Wittenburg;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
10;29.08.2020;Schwerin;4;Links;STGB-303;Sachbeschädigung;AfD
11;07.09.2020;Schwerin;0;Links;STGB-303;Sachbeschädigung;AfD
12;11.09.2020;Waren;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
13;07.07.2020;Wegberg;0;Nicht zuzuordnen;STGB-242;Diebstahl;DIE LINKE.
14;25.07.2020;Wegberg;0;Nicht zuzuordnen;STGB-242;Diebstahl;Bündnis 90/Die Grünen
15;03.08.2020;Wegberg;0;Rechts;STGB-86A;Verwenden von Kennzeichen verfassungswidriger Organisationen;SPD, CDU, DIE LINKE.
16;07.08.2020;Alsdorf;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;CDU
17;09.08.2020;Stolberg;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;AfD
18;29.07.2020;Wegberg;0;Rechts;STGB-303;Sachbeschädigung;DIE LINKE.
19;16.08.2020;Erkelenz;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
20;24.08.2020;Alsdorf;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;SPD
21;16.08.2020;Alsdorf;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;AfD
22;25.08.2020;Eschweiler;0;Nicht zuzuordnen;STGB-303;Sachbeschädigung;Bündnis 90/Die Grünen
