Lfd Nr;Tatzeit;Tatort;TV*;PHB**;Zähldelikt;Bezeichnung;Betroffene Partei
1;16.11.2020;Dessau Roßlau;0;Links;§ 243 Strafgesetzbuch (StGB);Bes. schwerer Diebstahl;FDP
2;12.12.2020;Dessau Roßlau;0;Links;§ 303 StGB;Sachbeschädigung;AfD
3;20.10.2020;Elsterwerda;0;Links;§ 303 StGB;Sachbeschädigung;AfD
4;12.10.2020;Potsdam;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;FDP
5;19.11.2020;Cottbus;0;Rechts;§ 303 StGB;Sachbeschädigung;DIE LINKE.
6;19.11.2020;Brandenburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
7;23.11.2020;Königs-Wusterhausen;0;Links;§ 303 StGB;Sachbeschädigung;AfD
8;19.10.2020;Finsterwalde;0;Links;§ 303 StGB;Sachbeschädigung;AfD
9;10.11.2020;Bad Belzig;0;Religiöse Ideologie;§ 304 StGB;Gemeinschädliche Sachbeschädigung;DIE LINKE.
10;07.10.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD
11;09.10.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD
12;09.10.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD
13;09.10.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD
14;09.10.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD
15;07.10.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;DIE LINKE.
16;09.10.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD
17;16.10.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD
18;19.10.2020;Berlin;0;Rechts;§ 86a StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;SPD
19;19.10.2020;Berlin;0;Rechts;§ 303 StGB;Sachbeschädigung;DIE LINKE.
20;16.10.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD
21;09.10.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD
22;29.10.2020;Berlin;0;Links;§ 185 StGB;Beleidigung;SPD
23;03.11.2020;Berlin;0;Links;§ 306a StGB;Schwere Brandstiftung;SPD
24;18.11.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei
25;18.11.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei
26;12.10.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;SPD
27;30.11.2020;Berlin;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;BÜNDNIS 90/DIE GRÜNEN
28;06.12.2020;Berlin;0;Links;§ 185 StGB;Beleidigung;AfD
29;01.11.2020;Berlin;0;Links;§ 303 SGB;Sachbeschädigung;SPD
30;12.12.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei
31;18.11.2020;Berlin;0;Rechts;§ 185 StGB;Beleidigung;SPD
32;29.10.2020;München;1;Links;§ 303 StGB;Sachbeschädigung;CSU
33;28.10.2020;Fürth;0;Rechts;§ 303 StGB;Sachbeschädigung;CSU
34;13.11.2020;München;0;Links;§ 303 StGB;Sachbeschädigung;BÜNDNIS 90/DIE GRÜNEN
35;22.11.2020;Nürnberg;0;Links;§ 303 StGB;Sachbeschädigung;AfD
36;14.12.2020;Memmingen;0;Links;§ 303 StGB;Sachbeschädigung;AfD
37;09.10.2020;Bremen;1;Rechts;§ 303 StGB;Sachbeschädigung;DIE LINKE.
38;17.11.2020;Bremerhaven;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
39;17.11.2020;Bremerhaven;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
40;17.11.2020;Bremerhaven;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;BÜNDNIS 90/DIE GRÜNEN
41;10.10.2020;Wiesbaden;0;Links;§ 303 StGB;Sachbeschädigung;BÜNDNIS 90/DIE GRÜNEN
42;10.10.2020;Wiesbaden;0;Links;§ 303 StGB;Sachbeschädigung;BÜNDNIS 90/DIE GRÜNEN
43;10.10.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;SPD
44;23.11.2020;Hamburg;0;Links;§ 303 StGB;Sachbeschädigung;SPD
45;08.11.2020;Güstrow;0;Links;§ 303 StGB;Sachbeschädigung;Sonstige Partei
46;04.10.2020;Hildesheim;0;Rechts;§ 86a StGB;Verwenden von Kennzeichen verfassungswidriger Organisationen;DIE LINKE.
47;16.10.2020;Hildesheim;0;Links;§ 303 StGB;Sachbeschädigung;AfD
