Lfd Nr;Tatzeit;Tatort;TV;PHB;Zähldelikt;Bezeichnung;Betroffene Partei
1;19.11.2020;Brandenburg;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;CDU
2;27.10.2020;Brandenburg;1;Rechts;§ 185 StGB;Beleidigung;CDU
3;13.10.2020;Brieselang;1;Rechts;§ 188 StGB;Üble Nachrede und Verleumdung gg. Personen des pol. Lebens;DIE LINKE.
4;02.11.2020;Neuruppin;0;Links;§ 243 StGB;Bes. schw. Fall des Diebstahls;AfD
5;13.11.2020;Schorfheide;0;Links;§ 303 StGB;Sachbeschädigung;AfD
6;27.10.2020;Dallgow-Döberitz;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;Sonstige
7;15.11.2020;Königs Wusterhausen;1;Nicht zuzuordnen;§ 185 StGB;Beleidigung;AfD
8;11.10.2020;Berlin;0;Links;§ 303 StGB;Sachbeschädigung;CDU
9;06.10.2020;Berlin;0;Rechts;§ 185 StGB;Beleidigung;DIE LINKE.
10;20.10.2020;Berlin;0;Nicht zuzuordnen;§ 241 StGB;Bedrohung;SPD
11;28.10.2020;Berlin;0;Links;§ 186 StGB;Üble Nachrede;AfD
12;07.11.2020;Berlin;0;Nicht zuzuordnen;§ 303 StGB;Sachbeschädigung;SPD
13;03.11.2020;Berlin;0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;DIE LINKE.
14;07.11.2020;Berlin;0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;BÜNDNIS 90/DIE GRÜNEN
15;09.11.2020;Berlin;0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;BÜNDNIS 90/DIE GRÜNEN
16;17.11.2020;Berlin;0;Links;Kunsturhebergesetz (Kunst-UrhG);;Sonstige
17;14.11.2020;Berlin;1;Rechts;§ 130 StGB;Volksverhetzung;Sonstige
18;05.12.2020;Berlin;1;Links;§ 223 StGB;Körperverletzung;Sonstige
19;13.11.2020;Berlin;0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;Sonstige
20;09.10.2020;Neckargemünd;0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;Sonstige
21;19.10.2020;Stuttgart;0;Links;§ 303 StGB;Sachbeschädigung;AfD
22;17.10.2020;Karlsruhe;1;Links;§ 185 StGB;Beleidigung;AfD
23;24.10.2020;Mühlhausen;0;Links;§ 185 StGB;Beleidigung;AfD
24;24.10.2020;Mühlhausen;0;Links;§ 303 StGB;Sachbeschädigung;AfD
25;19.10.2020;Stuttgart;0;Links;§ 303 StGB;Sachbeschädigung;AfD
26;03.10.2020;Stuttgart;1;Links;§ 303 StGB;Sachbeschädigung;AfD
27;30.10.2020;Schorndorf;0;Links;§ 303 StGB;Sachbeschädigung;AfD
28;01.11.2020;Brühl;0;Links;§ 303 StGB;Sachbeschädigung;AfD
29;27.11.2020;Karlsruhe;0;Links;§ 303 StGB;Sachbeschädigung;AfD
30;05.10.2020;Nürnberg;0;Nicht zuzuordnen;§ 185 StGB;Beleidigung;BÜNDNIS 90/DIE GRÜNEN
31;04.10.2020;Nürnberg;0;Rechts;§ 130 StGB;Volksverhetzung;DIE LINKE., BÜNDNIS 90/DIE GRÜNEN
32;14.10.2020;Berchtesgaden;1;Links;§ 241 StGB;Bedrohung;AfD
33;26.10.2020;Weiden;1;Nicht zuzuordnen;§ 185 StGB;Beleidigung;Sonstige
34;20.10.2020;Kaufbeuren;0;Rechts;§ 185 StGB;Beleidigung;DIE LINKE.
