Gemeinderatswahl 2019 in Thüringen - endgültiges Ergebnis;;;;;
;;;;;
Übersicht zu den Bewerbern;;;;;
Gemeinde;Wahlvorschlag;Anzahl der Bewerber;;Gewählte Bewerber;
;;insgesamt;darunter weiblich;insgesamt;darunter weiblich
51000 Erfurt, Stadt;CDU;49;13;10;2
52000 Gera, Stadt;CDU;16;3;6;1
53000 Jena, Stadt;CDU;46;10;6;3
54000 Suhl, Stadt;CDU;35;7;11;2
55000 Weimar, Stadt;CDU;42;9;7;1
56000 Eisenach, Stadt;CDU;28;7;7;3
61001 Arenshausen;CDU;8;-;3;-
61003 Berlingerode;CDU;13;4;8;2
61012 Bodenrode-Westhausen;CDU;8;1;5;-
61015 Brehme;CDU;8;2;5;2
61017 Breitenworbis;CDU;14;1;7;1
61018 Büttstedt;CDU;7;1;7;1
61026 Ecklingerode;CDU;3;-;1;-
61031 Ferna;CDU;10;6;8;5
61035 Geismar;CDU;11;1;5;1
61036 Gerbershausen;CDU;9;1;8;1
61037 Gernrode;CDU;14;2;7;1
61041 Großbartloff;CDU;9;3;8;3
61044 Haynrode;CDU;3;-;3;-
61045 Heilbad Heiligenstadt, Stadt;CDU;24;4;9;2
61047 Heuthen;CDU;4;-;3;-
61048 Hohengandern;CDU;5;1;1;1
61049 Hohes Kreuz;CDU;10;3;8;2
61057 Kirchgandern;CDU;7;1;5;1
61063 Küllstedt;CDU;12;4;7;3
61065 Lenterode;CDU;5;-;2;-
61067 Lutter;CDU;7;1;7;1
61068 Mackenrode;CDU;4;-;2;-
61069 Marth;CDU;3;1;1;-
61074 Niederorschel;CDU;32;3;16;2
61076 Reinholterode;CDU;6;1;4;1
61078 Rohrberg;CDU;6;1;4;1
61082 Rustenfelde;CDU;5;2;4;2
61089 Steinbach;CDU;5;1;5;1
61091 Steinheuterode;CDU;7;2;4;-
61094 Tastungen;CDU;3;-;1;-
61097 Uder;CDU;19;3;10;1
61101 Wachstedt;CDU;2;1;2;1
61107 Wingerode;CDU;12;1;10;1
61113 Schimberg;CDU;11;3;6;1
61114 Teistungen;CDU;15;1;6;1
61115 Leinefelde-Worbis, Stadt;CDU;26;4;16;3
61116 Am Ohmberg;CDU;18;-;7;-
61117 Sonnenstein;CDU;13;2;9;1
61118 Dingelstädt, Stadt;CDU;20;2;11;-
62005 Ellrich, Stadt;CDU;18;6;6;1
62009 Großlohra;CDU;4;-;3;-
62037 Niedergebra;CDU;8;3;5;3
62041 Nordhausen, Stadt;CDU;32;8;8;2
62049 Sollstedt;CDU;7;2;4;1
62063 Werther;CDU;9;2;4;1
62064 Heringen/Helme, Stadt;CDU;13;1;6;-
62065 Harztor;CDU;20;7;8;3
62066 Bleicherode, Stadt;CDU;15;6;10;4
63003 Bad Salzungen, Stadt;CDU;26;6;5;1
63004 Barchfeld-Immelborn;CDU;16;3;5;1
