,city,date,background,law,suspects,crime,party,Land,plz,ags,insgesamt
0,Greifswald,01.07.2019,Links,STGB-242,0,Diebstahl,AfD,13.0,17489,13075039.0,59232.0
1,Stassfurt,02.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,AfD,15.0,39418,15089310.0,24923.0
2,Gotha,09.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,16.0,99867,16067029.0,45419.0
3,Luckenwalde,11.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,12.0,14943,12072232.0,20582.0
4,Oldenburg,13.07.2019,Nicht zuzuordnen,STGB-243,0,Besonders schwerer Fall ddes Diebstahls,AfD,,,,
5,Bad Liebenstein,13.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,16.0,36448,16063099.0,7748.0
6,Leipzig,14.07.2019,Rechts,STGB-303,0,Sachbeschadigung,DIE LINKE,14.0,4109,14713000.0,593145.0
7,Wismar,18.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,13.0,23952,13074087.0,42963.0
8,Torgau,18.07.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,4860,14730310.0,19883.0
9,Giessen,21.07.2019,Rechts,STGB-86A,0,Verwenden von Kennzeichen verfassungsfeindlicher Organisationen,DIE LINKE,6.0,35390,6531005.0,89802.0
10,Kothen,22.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,AfD,,,,
11,Stendal,22.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,DIE LINKE,15.0,39576,15090535.0,39103.0
12,Berlin,22.07.2019,Rechts,STGB-126,0,Straftaten,DIE LINKE,11.0,10178,11000000.0,3669491.0
13,Berlin,22.07.2019,Rechts,STGB-126,0,Straftaten,SPD,11.0,10178,11000000.0,3669491.0
14,Detmold,22.07.2019,Links,STGB-303,0,Sachbeschadigung,CDU,5.0,32756,5766020.0,74254.0
15,Berlin,23.07.2019,Rechts,STGB-126,0,Storung des offentlichen Friedens offentlichen Friedens,GRÜNE,11.0,10178,11000000.0,3669491.0
16,Bitburg,26.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,SPD,7.0,54634,7232018.0,15047.0
17,Wurzen,26.07.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,CDU,14.0,4808,14729410.0,16209.0
18,Hoyerswerda,30.07.2019,Links,STGB-303,1,Sachbeschadigung,AfD,,,,
19,Nienburg,02.08.2019,Rechts,STGB-303,0,Sachbeschadigung,SPD,,,,
20,Furth,03.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,SPD,9.0,90744,9563000.0,128497.0
21,Lubben,07.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,GRÜNE,,,,
22,Nordhausen,07.08.2019,Links,STGB-90A,0,Verunglimpfung staatlicher Symbole,AfD,16.0,99734,16062041.0,41726.0
23,Lugau,09.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,9385,14521380.0,8005.0
24,Greven,11.08.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,GRÜNE,5.0,48268,5566012.0,37753.0
25,Lugau,11.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,9385,14521380.0,8005.0
26,Stralsund,12.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,13.0,18439,13073088.0,59418.0
27,Plauen,17.08.2019,Links,STGB-303,0,Sachbeschadigung,Sonstige,14.0,8523,14523320.0,64597.0
28,Berlin,18.08.2019,Links,STGB-303,0,Sachbeschadigung,SPD,11.0,10178,11000000.0,3669491.0
29,Verden,22.08.2019,Rechts,STGB-303,0,Sachbeschadigung,SPD,,,,
30,Rochlitz,22.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,9306,14522490.0,5710.0
31,Wismar,28.08.2019,Rechts,STGB-303,0,Sachbeschadigung,DIE LINKE,13.0,23952,13074087.0,42963.0
32,Dresden,28.08.2019,Rechts,STGB-303,0,Sachbeschadigung,CDU,14.0,1067,14612000.0,556780.0
33,Leipzig,28.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,4109,14713000.0,593145.0
34,Torgau,31.08.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,4860,14730310.0,19883.0
35,Berlin,01.09.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,GRÜNE,11.0,10178,11000000.0,3669491.0
36,Zwickau,01.09.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,GRÜNE,14.0,8056,14524330.0,88690.0
37,Gera,04.09.2019,Nicht zuzuordnen,STGB-303,1,Sachbeschadigung,AfD,16.0,7545,16052000.0,93125.0
38,Berlin,13.09.2019,Links,STGB-303,0,Sachbeschadigung,CDU,11.0,10178,11000000.0,3669491.0
39,Meissen,14.09.2019,Links,STGB-306,0,Brandstiftung,AfD,14.0,1662,14627140.0,28282.0
40,Heiligenstadt,14.09.2019,Links,STGB-303,0,Sachbeschadigung,AfD,,,,
41,Bergen,15.09.2019,Links,STGB-242,0,Diebstahl,AfD,3.0,29303,3351004.0,13430.0
42,Zwickau,15.09.2019,Links,STGB-303,0,Sachbeschadigung,AfD,14.0,8056,14524330.0,88690.0
43,Quedlinburg,16.09.2019,Links,STGB-303,0,Sachbeschadigung,AfD,15.0,6484,15085235.0,23798.0
44,Waldbrol,16.09.2019,Nicht zuzuordnen,STGB-303,0,Sachbeschadigung,SPD,5.0,51545,5374044.0,19553.0
