,city,year,party,BL,Anzahl Bewerber,darunter Frauen,Prozent Frauen
0,Aarbergen,2011,CDU,HE,30,10.0,0.3333333333333333
1,Aarbergen,2011,FDP,HE,10,3.0,0.3
2,Aarbergen,2011,GRÜNE,HE,12,6.0,0.5
3,Aarbergen,2011,SPD,HE,21,4.0,0.19047619047619047
4,Aarbergen,2016,CDU,HE,31,9.0,0.2903225806451613
5,Aarbergen,2016,FDP,HE,15,2.0,0.13333333333333333
6,Aarbergen,2016,GRÜNE,HE,14,8.0,0.5714285714285714
7,Aarbergen,2016,SPD,HE,37,9.0,0.24324324324324326
8,Aarbergen,2021,CDU,HE,21,8.0,0.38095238095238093
9,Aarbergen,2021,GRÜNE,HE,16,7.0,0.4375
10,Aarbergen,2021,SPD,HE,16,2.0,0.125
11,Abtsteinach,2011,CDU,HE,51,18.0,0.35294117647058826
12,Abtsteinach,2011,FDP,HE,25,8.0,0.32
13,Abtsteinach,2011,GRÜNE,HE,33,11.0,0.3333333333333333
14,Abtsteinach,2011,SPD,HE,47,13.0,0.2765957446808511
15,Abtsteinach,2016,CDU,HE,11,3.0,0.2727272727272727
16,Abtsteinach,2016,SPD,HE,10,3.0,0.3
17,Abtsteinach,2021,CDU,HE,15,5.0,0.3333333333333333
18,Abtsteinach,2021,SPD,HE,6,3.0,0.5
19,Ahnatal,2011,CDU,HE,37,11.0,0.2972972972972973
20,Ahnatal,2011,GRÜNE,HE,13,7.0,0.5384615384615384
21,Ahnatal,2011,SPD,HE,39,11.0,0.28205128205128205
22,Ahnatal,2016,AfD,HE,4,1.0,0.25
23,Ahnatal,2016,CDU,HE,21,3.0,0.14285714285714285
24,Ahnatal,2016,SPD,HE,31,12.0,0.3870967741935484
25,Ahnatal,2021,AfD,HE,4,,
26,Ahnatal,2021,CDU,HE,20,6.0,0.3
27,Ahnatal,2021,GRÜNE,HE,4,1.0,0.25
28,Ahnatal,2021,SPD,HE,21,10.0,0.47619047619047616
29,Alheim,2011,CDU,HE,22,7.0,0.3181818181818182
30,Alheim,2011,SPD,HE,23,6.0,0.2608695652173913
31,Alheim,2016,CDU,HE,18,5.0,0.2777777777777778
32,Alheim,2016,SPD,HE,35,8.0,0.22857142857142856
33,Alheim,2021,CDU,HE,28,9.0,0.32142857142857145
