"","round","female","migrant","age","education","polint","prof_training","employment","east","party_pref","internal_effic_ind","external_effic_ind","risk_aversion_ind","csp","active_sport","active_music","active_union","active_environment","active_social","active_religion","active_political","active_other","treatment","wtr_cand","wtr_engage","information","perception_risk_1","perception_risk_2","perception_envir_ind","wtr_ind_full","wtr_ind_reduc","wtr_ind_friend","wtr_work_bt","traits_1","traits_2","traits_3","traits_4","traits_5","traits_6","traits_7","third_round"
"32",1,0,1,21,3,7,3,"Angestellt oder selbstständig",0,"SPD",4.25,4.5,1.5,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,4,5,1,4,5,3,4.5,4.5,4.5,5,1,4,5,3,2,7,6,0
"35",1,1,0,30,3,7,3,"Angestellt oder selbstständig",0,"SPD",3.25,4,2.25,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,4,3,1,4,3,3,2.75,3.5,2,3,6,4,5,7,3,2,1,0
"37",1,0,0,25,3,6,3,"Arbeitssuchend",0,"CDU/CSU",4.25,3.5,2.25,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,5,0,3,1,4.5,3,4,2,4,1,2,3,5,6,7,4,0
"38",1,1,0,42,3,7,3,"Angestellt oder selbstständig",0,"Gruene",2.5,2.5,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,3,0,3,1,2.75,3,3,3,4,1,6,3,5,7,4,2,0
"39",1,0,0,53,1,5,2,"im Ruhestand",0,"Linke",2.25,2.25,2.75,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,0,2,2,4.25,1.5,1,2,1,2,4,1,5,6,7,3,0
"40",1,0,0,68,2,7,2,"im Ruhestand",0,"Gruene",3.25,3.5,3.5,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,3,4,1,2,2,3.25,3.5,3.5,3.5,3,5,2,4,7,3,6,1,0
"42",1,0,0,35,3,7,3,"Angestellt oder selbstständig",0,"FDP",4.25,2.5,2.25,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,3,4,1,4,4,2.5,4,3.5,4.5,4,1,2,4,5,3,6,7,0
"43",1,0,NA,45,3,7,3,"Angestellt oder selbstständig",0,"SPD",3.5,3.25,4,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,1,0,2,2,2.75,1.5,1,2,3,4,2,5,3,6,7,1,0
"47",1,0,0,32,3,7,3,"Angestellt oder selbstständig",0,"SPD",5,5,1.25,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,5,4,0,5,4,3.5,4.5,4.5,4.5,5,1,3,2,7,4,6,5,0
"49",1,0,0,71,2,7,2,"im Ruhestand",0,"Gruene",3.75,4.25,3.75,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3,1,1,1,3,2.5,2,3,3,1,4,2,5,6,3,7,0
"50",1,0,0,37,3,7,3,"Angestellt oder selbstständig",0,"Other",4.5,3,1.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,5,1,1,1,3,4,4,4,3,1,3,2,4,5,7,6,0
"51",1,0,0,61,1,7,2,"Angestellt oder selbstständig",0,"CDU/CSU",2.5,4.5,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,5,0,5,5,2.5,5,5,5,5,4,1,2,3,6,7,5,0
"54",1,0,0,73,3,6,3,"im Ruhestand",0,"Linke",4,3,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,2,4,0,3,3,3.25,3.5,3,4,3,2,3,5,4,6,7,1,0
"55",1,0,0,52,1,7,2,"Angestellt oder selbstständig",1,"Other",3,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,0,5,5,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0
"56",1,1,0,44,3,6,3,"Angestellt oder selbstständig",0,"SPD",3.25,3,3.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,3,1,1,1,3,3.25,2.5,4,3,1,3,5,6,4,7,2,0
"57",1,0,0,65,1,7,2,"im Ruhestand",0,"SPD",4.5,3.25,3.75,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,2,1,1,1,3.25,1.75,1.5,2,1,2,7,4,1,5,3,6,0
"58",1,0,0,61,2,7,2,"Angestellt oder selbstständig",0,"Gruene",2.75,1.5,2.25,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,4,3,1,2,4,3.25,3.75,3.5,4,4,3,5,4,1,2,6,7,0
"60",1,0,0,63,1,5,2,"Arbeitssuchend",0,"SPD",3,3,3.75,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,0,3,2,3.25,1,1,1,1,5,1,4,6,3,7,2,0
"61",1,1,0,62,2,5,2,"Arbeitssuchend",0,"CDU/CSU",4,2.25,2.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,0,3,3,3.5,1,1,1,1,2,3,4,5,6,7,1,0
"62",1,1,0,44,3,5,3,"Angestellt oder selbstständig",0,"Other",3.5,1.75,3.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,0,2,2,4,1,1,1,1,3,4,6,7,2,5,1,0
"63",1,0,0,70,3,7,3,"im Ruhestand",0,"SPD",3.75,4,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,4,4,1,2,2,2.5,4,4,4,4,1,2,3,4,5,6,7,0
"65",1,0,0,42,2,6,2,"Angestellt oder selbstständig",0,"Linke",5,3.5,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,3,1,3,3,3,3,3,3,3,4,1,3,5,6,7,2,0
"66",1,1,0,31,3,7,3,"Angestellt oder selbstständig",0,"SPD",4.5,4.5,2,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,4,5,1,5,4,2.5,4.5,4.5,4.5,5,6,2,4,5,7,1,3,0
"67",1,1,0,63,2,7,2,"im Ruhestand",0,"Linke",4.25,4.25,4.5,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,2,4,0,1,1,3.25,3.5,3,4,3,5,1,3,6,4,7,2,0
"71",1,0,0,23,3,5,3,"Angestellt oder selbstständig",0,"SPD",2,3.75,1.25,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,3,0,5,2,3.5,3.5,3,4,4,6,2,1,7,5,3,4,0
"72",1,0,0,32,2,7,2,"Angestellt oder selbstständig",0,"Linke",4.25,4,3.25,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,3,4,1,4,4,3.25,4,3.5,4.5,4,4,5,2,3,7,1,6,0
"73",1,0,0,35,3,7,3,"Angestellt oder selbstständig",0,"Linke",4.25,4.25,2.75,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,5,4,1,4,5,3,4.5,4.5,4.5,4,3,2,5,6,4,1,7,0
"74",1,0,0,31,2,7,2,"Angestellt oder selbstständig",0,"Linke",4.75,4.5,1.5,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,5,4,1,5,4,3.25,4.75,4.5,5,5,4,7,5,1,3,6,2,0
"75",1,0,0,23,3,5,3,"Angestellt oder selbstständig",0,"SPD",2.75,3.5,2.25,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,3,3,0,3,3,3,3,3,3,2,1,2,3,5,4,6,7,0
"76",1,1,0,63,1,5,2,"Angestellt oder selbstständig",0,"Linke",3,3,4.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,2,1,2,2,3.75,2.25,1.5,3,2,4,2,5,7,6,3,1,0
"78",1,0,0,67,1,5,2,"im Ruhestand",0,"SPD",2.25,3.25,3.75,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,2,0,3,3,3,2.25,1.5,3,3,4,2,5,7,3,6,1,0
"81",1,1,0,23,3,5,3,"Schüler/in oder Student/in",0,"FDP",2.75,3,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,1,0,1,1,3.75,1,1,1,1,1,4,5,7,2,3,6,0
"82",1,0,0,57,3,6,3,"Angestellt oder selbstständig",0,"Linke",2.25,3.25,3.5,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,2,0,4,4,3.25,1.25,1.5,1,1,2,3,6,4,5,7,1,0
"83",1,0,1,43,3,6,3,"Angestellt oder selbstständig",0,"Gruene",5,5,1.25,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0,5,5,1,1,1,2.75,5,5,5,5,5,2,7,4,3,6,1,0
"85",1,1,1,57,1,6,2,"Angestellt oder selbstständig",0,"Gruene",2,4.5,3.75,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,0,1,1,3.5,1,1,1,1,2,5,3,6,4,7,1,0
"87",1,0,1,29,1,7,2,"Angestellt oder selbstständig",0,"SPD",4.25,2.25,3.25,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,4,1,4,2,2,2.75,3,2.5,2,1,3,5,4,6,2,7,0
"88",1,0,0,40,1,7,2,"Angestellt oder selbstständig",0,"Gruene",3,3.5,1.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,0,1,2,3.5,1,1,1,1,3,1,5,6,4,7,2,0
"89",1,1,0,70,1,7,2,"im Ruhestand",0,"Linke",4.5,3.5,4.25,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,2,4,1,1,1,3,3.5,3,4,3,NA,NA,NA,NA,NA,NA,NA,0
"90",1,0,0,61,1,7,2,"im Ruhestand",0,"AfD",4,1.75,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,0,3,2,3.5,1,1,1,1,1,4,2,5,6,3,7,0
"92",1,0,1,67,3,7,3,"im Ruhestand",0,"Linke",3,2.75,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,3,1,1,1,3,1.5,2,1,1,4,2,3,6,7,5,1,0
"93",1,1,0,30,3,6,3,"Angestellt oder selbstständig",0,"SPD",3.5,3.75,1.5,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,3,4,1,4,4,3.75,3.75,3.5,4,4,5,2,7,1,4,6,3,0
"94",1,1,0,37,3,6,3,"Angestellt oder selbstständig",0,"Gruene",2.5,3,2.75,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,2,0,1,1,3.25,2,1.5,2.5,1,4,1,6,5,2,7,3,0
"99",1,0,0,56,2,5,2,"im Ruhestand",0,"FDP",2.75,2.25,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,2,3,1,2,2,4,2.75,2.5,3,2,2,5,6,4,1,3,7,0
"100",1,0,0,81,3,7,3,"im Ruhestand",0,"AfD",3.75,3,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,2,0,3,3,1.75,2.25,1.5,3,2,3,1,2,7,6,5,4,0
